genes	ensembl_id	pvalue	pval_adj	logFC	direction
PRAME	ENSG00000185686.18	1.51624475990541e-14	2.272972194679e-11	5.31449579616936	UP
SFN	ENSG00000175793.12	5.17569683921975e-11	7.37526959860983e-09	4.9514181065832	UP
DLX5	ENSG00000105880.7	5.28480942787901e-09	2.69834881374144e-07	4.81019001807031	UP
UBE2C	ENSG00000175063.17	9.77477262455841e-17	9.75414045960044e-13	4.58717224015001	UP
MYBL2	ENSG00000101057.16	1.65022220912187e-16	9.75414045960044e-13	4.41554553632437	UP
CDC20	ENSG00000117399.14	8.69910954179331e-15	1.85652749039241e-11	4.26199077263179	UP
AQP5	ENSG00000161798.7	8.33620572947259e-09	3.86175503242824e-07	4.2511289756835	UP
MT1G	ENSG00000125144.14	6.94363418014364e-09	3.36055345690181e-07	3.96149606308763	UP
PRSS8	ENSG00000052344.16	6.04873995364482e-09	3.00648046741044e-07	3.85460169703508	UP
TPX2	ENSG00000088325.16	8.05335117223463e-15	1.85652749039241e-11	3.6576354011428	UP
TOP2A	ENSG00000131747.15	1.08886302971934e-13	7.4195126845076e-11	3.59894755431196	UP
ASF1B	ENSG00000105011.9	4.99468934721605e-14	4.45680887299086e-11	3.5984778111209	UP
WFDC2	ENSG00000101443.18	4.55836384007141e-05	0.000397935713101226	3.5619845578717	UP
SERINC2	ENSG00000168528.12	8.12962207148705e-08	2.38212546030587e-06	3.54921320947422	UP
BIRC5	ENSG00000089685.15	5.90926181297001e-14	4.9213645547706e-11	3.51303476645132	UP
MSX1	ENSG00000163132.8	2.97671768099231e-05	0.000279945918520825	3.49764256114397	UP
TK1	ENSG00000167900.12	2.29894223853217e-13	1.21348532779536e-10	3.49752919263067	UP
EPCAM	ENSG00000119888.11	7.1474280213298e-06	8.77380150525309e-05	3.47802863437488	UP
SPP1	ENSG00000118785.14	1.18781016409895e-05	0.000132526232569028	3.45945496767763	UP
KIFC1	ENSG00000237649.8	2.90254505184355e-14	3.50898970670777e-11	3.40994790264249	UP
ZWINT	ENSG00000122952.17	7.50574001255474e-15	1.85652749039241e-11	3.37420032683058	UP
SCD	ENSG00000099194.6	7.23606731954986e-10	5.69718686837752e-08	3.37293382812506	UP
SDC1	ENSG00000115884.11	2.60940752512535e-09	1.58754489966109e-07	3.36990618137692	UP
SCGB2A1	ENSG00000124939.6	0.00051508751835335	0.00290809504750354	3.34673432850208	UP
PIGR	ENSG00000162896.6	0.000406051232523968	0.00239007099753428	3.31984493812224	UP
PTTG1	ENSG00000164611.13	3.67360821334942e-13	1.86048398664455e-10	3.3167533384843	UP
AURKB	ENSG00000178999.13	6.10142487823935e-14	4.97093696003861e-11	3.25497184343075	UP
PBK	ENSG00000168078.10	4.96032951390316e-14	4.45680887299086e-11	3.24279273778533	UP
CKS2	ENSG00000123975.5	1.24560221043579e-10	1.42097175156877e-08	3.22878919625754	UP
LARGE2	ENSG00000165905.18	1.04362110122476e-08	4.57447812989478e-07	3.22768607162296	UP
DLX6	ENSG00000006377.11	2.52515689442355e-09	1.5516926825692e-07	3.21579873696262	UP
TACSTD2	ENSG00000184292.7	1.60654485517139e-06	2.61708558597994e-05	3.20482780548224	UP
SBK1	ENSG00000188322.8	2.76450107699332e-12	8.85514588568193e-10	3.18303438580127	UP
CLDN3	ENSG00000165215.6	2.00699959438953e-05	0.000202206473386299	3.18161965070805	UP
CDCA8	ENSG00000134690.11	8.46226083843258e-14	6.34280298883876e-11	3.16566846394066	UP
CD24	ENSG00000272398.6	1.01925084563598e-05	0.000116707803061104	3.1560881288096	UP
TMEM132A	ENSG00000006118.15	1.38723816860549e-14	2.16623020186783e-11	3.13604611298075	UP
GDF15	ENSG00000130513.6	4.89927989765683e-08	1.60638943765954e-06	3.10173704033764	UP
KRT8	ENSG00000170421.12	3.53617447589201e-06	4.97280340836791e-05	3.09727971844972	UP
CCNB1	ENSG00000134057.15	3.46146550562876e-12	1.00562281204999e-09	3.04532924450432	UP
FOXM1	ENSG00000111206.13	2.11805640387534e-11	3.87211706575785e-09	3.0153225091778	UP
HES6	ENSG00000144485.11	1.37031118173276e-07	3.62013161539794e-06	3.00814345778303	UP
KIF20A	ENSG00000112984.12	7.81106395707201e-15	1.85652749039241e-11	3.00812456175392	UP
UBE2T	ENSG00000077152.11	5.64999480590659e-14	4.81238307593094e-11	2.99999338332201	UP
CEP55	ENSG00000138180.16	3.82186454987679e-14	4.09234336387807e-11	2.99661324134687	UP
MKI67	ENSG00000148773.14	1.3757544368947e-13	8.88950845370736e-11	2.99079667597948	UP
MEX3A	ENSG00000254726.3	4.54034960147299e-11	6.75232865136521e-09	2.95873132293482	UP
CCNB2	ENSG00000157456.8	1.75813172505148e-12	6.65550531916709e-10	2.95561042024475	UP
TROAP	ENSG00000135451.13	8.1291643146612e-16	3.38507434467287e-12	2.95209356685957	UP
MMP11	ENSG00000099953.10	8.26660932195477e-08	2.41659686083384e-06	2.93389236992561	UP
SAPCD2	ENSG00000186193.9	5.56805447996683e-11	7.78634245319839e-09	2.92800656098907	UP
PODXL2	ENSG00000114631.11	3.60632868986012e-10	3.37885950774719e-08	2.9272940698851	UP
ST14	ENSG00000149418.11	2.09204520126267e-05	0.000209131976547669	2.89872096871656	UP
CDK1	ENSG00000170312.16	1.72497544827518e-14	2.39432981018552e-11	2.89633711570479	UP
NUP210	ENSG00000132182.12	6.59233687622238e-11	8.88708665863978e-09	2.88953856244858	UP
PRR15	ENSG00000176532.4	3.13608438749978e-09	1.81375053380137e-07	2.87935178277848	UP
HJURP	ENSG00000123485.12	9.18036535771238e-15	1.85652749039241e-11	2.84815641021903	UP
CDT1	ENSG00000167513.9	1.83864522144519e-10	1.96315974256699e-08	2.84663792813512	UP
MSX2	ENSG00000120149.9	2.91932682723128e-06	4.26873240359526e-05	2.83806479858186	UP
RAB25	ENSG00000132698.15	3.5081154061278e-05	0.000320120869431341	2.831999051788	UP
AP1M2	ENSG00000129354.12	1.35130342263376e-05	0.000146961109605472	2.83025624881162	UP
PYCR1	ENSG00000183010.17	7.86583034080814e-12	1.75468883144325e-09	2.82904779538022	UP
HOXB9	ENSG00000170689.10	1.48595406644154e-05	0.000158778918551928	2.82686405246653	UP
SPDEF	ENSG00000124664.11	0.000113085296005439	0.00083263214899722	2.82519361395637	UP
STC2	ENSG00000113739.10	2.02411817300103e-07	5.00051923332629e-06	2.82056576742613	UP
MELK	ENSG00000165304.8	4.62848163282844e-13	2.13861668559438e-10	2.80934829151581	UP
CTSV	ENSG00000136943.11	2.01113226959561e-09	1.29726685142228e-07	2.80347822843107	UP
KIF2C	ENSG00000142945.13	3.99346537554795e-13	1.9187577164027e-10	2.79936983906942	UP
SPC24	ENSG00000161888.11	3.87454941420018e-13	1.91061168942079e-10	2.79358679046612	UP
SPINT1	ENSG00000166145.14	1.51190764161305e-05	0.000160925199331816	2.79009016943452	UP
LMNB1	ENSG00000113368.12	1.35535571588457e-11	2.68754847429661e-09	2.78464686728621	UP
TMPRSS4	ENSG00000137648.19	2.40498302767445e-09	1.50219248213593e-07	2.78304458072237	UP
CENPF	ENSG00000117724.13	1.21131306522128e-13	8.10649638308892e-11	2.78165662544291	UP
CDCA5	ENSG00000146670.10	2.49400718009957e-12	8.23945583388429e-10	2.76246024721603	UP
LAD1	ENSG00000159166.15	1.33710451351241e-06	2.25927258128515e-05	2.75854425594728	UP
SLC7A5	ENSG00000103257.9	5.59146010374052e-07	1.11840629918253e-05	2.74848840461128	UP
CCNE1	ENSG00000105173.14	6.60841147768343e-10	5.30052370389387e-08	2.725585853849	UP
JPT1	ENSG00000189159.16	1.54444960065343e-13	9.36777932774722e-11	2.71292157776134	UP
C4orf48	ENSG00000243449.6	1.51112873834669e-07	3.93008825308944e-06	2.6987570655579	UP
PRR36	ENSG00000183248.12	1.49558566228859e-09	1.03222953711951e-07	2.69170825028932	UP
CLDN7	ENSG00000181885.18	1.69567634370991e-05	0.000176230899426556	2.69023834531207	UP
DLGAP5	ENSG00000126787.13	4.14404719122966e-12	1.13362377069864e-09	2.69010009104637	UP
FAM83D	ENSG00000101447.15	3.35830041755769e-12	9.98881148800075e-10	2.68635273612176	UP
GLYATL2	ENSG00000156689.7	1.81923616926587e-05	0.000186895597356296	2.67428738404234	UP
KRT18	ENSG00000111057.11	2.43086885372062e-05	0.000236689197274325	2.6737490582349	UP
AC025580.1	ENSG00000259342.1	5.20308264836986e-06	6.79254705818443e-05	2.66403374479532	UP
EEF1AKMT4	ENSG00000284753.2	4.10118146431913e-13	1.94556933845934e-10	2.65636222049936	UP
FGF18	ENSG00000156427.8	1.20861061579963e-07	3.27513377066685e-06	2.65134386173153	UP
CENPA	ENSG00000115163.15	4.66581483047726e-14	4.45680887299086e-11	2.60527952491087	UP
ALDH3B2	ENSG00000132746.15	4.79771241360067e-07	9.89564491604362e-06	2.59883955183776	UP
CCNA2	ENSG00000145386.11	2.73541620802814e-12	8.83751665760955e-10	2.59558429248921	UP
SMPDL3B	ENSG00000130768.15	2.04101093587316e-07	5.03230045024462e-06	2.59178661071275	UP
RDH10	ENSG00000121039.10	1.57989554899907e-08	6.33937317878352e-07	2.5904648461152	UP
NEK2	ENSG00000117650.13	1.2384489385369e-12	4.99068288919866e-10	2.58739977583989	UP
PLK1	ENSG00000166851.15	1.51991309943558e-11	2.92111708859217e-09	2.58612737887972	UP
E2F1	ENSG00000101412.13	1.82372611803075e-11	3.38355364977417e-09	2.58032430010753	UP
HMGB3	ENSG00000029993.15	5.22365134739004e-12	1.34086836675436e-09	2.57181074565998	UP
IQGAP3	ENSG00000183856.11	9.90755658346405e-15	1.85652749039241e-11	2.55768089709385	UP
TACC3	ENSG00000013810.20	6.24755858067175e-13	2.72971104348959e-10	2.55231967962374	UP
PAX8	ENSG00000125618.17	1.65958276335958e-05	0.000173490050829643	2.54725776665757	UP
CXCL14	ENSG00000145824.13	0.000224107319317095	0.0014619443004433	2.53257593353532	UP
MT1F	ENSG00000198417.7	1.82463643578549e-07	4.59247143747031e-06	2.52111796228096	UP
CLDN4	ENSG00000189143.9	6.80097159070982e-05	0.000551449615545288	2.51958404458413	UP
AC025154.2	ENSG00000257588.1	2.05595383076505e-08	7.99284042692756e-07	2.51399691554728	UP
RECQL4	ENSG00000160957.14	2.02221502173701e-12	7.32353262942416e-10	2.51361763096052	UP
