Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Neoplasm Metastasis	377/3920	3.97405564735524e-25	2.75004650796982e-21	377	0.0961734693877551	EPHB6;IFITM2;DIXDC1;STMN3;ANTXR2;CLDN1;ANTXR1;MYLK;AQP1;EDNRA;RASSF2;EDNRB;TMEM88;SOX18;MYC;AKT3;DPYSL3;KDR;PDK4;CYP1B1;JUNB;TRIM22;CHGB;TNS1;GABARAPL1;SERPINF1;PRKCA;HSPG2;TM4SF1;DKK3;CPED1;AR;CLDN5;SFRP4;TIAM1;SFRP1;CRISPLD2;TXNIP;SPARCL1;PLPP3;TLN1;MYL9;ATF3;PLPP1;TSPYL5;SLC22A3;ABCB1;EPAS1;RRAD;MAOA;GATA6;TWIST2;GATA5;PCDH17;ABO;HSD11B1;RRAS;PDGFD;EPB41L3;TSPAN2;KCNN3;A2M;STAT5A;HAGLR;NGFR;STAT5B;EGR1;JUN;STARD13;AFAP1L1;TNFSF12;MCAM;FZD7;INSR;FN1;PBX3;RASSF8;NR2F2;ABCA8;FLI1;PBX1;GADD45G;BST1;SNAI2;FXYD5;HOXD3;HOXD9;FERMT2;CD200;CD22;GSDME;ACVRL1;NRP1;ROBO3;NRP2;CD40;BTG2;BTG1;CDKN1B;CITED2;DIRAS1;ELN;TCF21;HBB;N4BP2L1;PTH1R;CHRDL1;GLI2;AKAP12;MRC2;CTSO;SH3PXD2A;CTSK;MMP28;MRC1;ANXA6;TIMP2;TIMP3;TNFAIP8L3;CD34;LMCD1;TIMP4;DUSP1;GAB1;FOS;GAB2;TACR1;RHOB;KAT2B;CLDN10;ZEB2;ZEB1;TAL1;DPYD;KCNMA1;MMP19;GAS1;GAS6;CRYAB;ANGPTL1;DDR2;ENG;HBEGF;MAGEH1;TAGLN;AHNAK;SATB1;ADH1B;SYNPO2;PRUNE2;PTGER3;HSD17B6;NT5E;ABI3BP;PDPN;FLNA;DMD;CD59;GPAT3;FLNC;CCL19;FILIP1L;JAM3;CAP2;RUNX1T1;IL33;GSN;CAVIN1;F10;CCL21;CAVIN2;CAVIN3;VEGFC;VEGFD;LYVE1;SULF2;PER1;PER3;WT1;AXL;CCDC8;DLC1;ZYX;MSRB3;FOSB;HSPA1A;STEAP4;IRS1;PROS1;LOXL4;PLAT;IRS2;NR3C1;ETS1;FGF2;CLU;ACTG2;RGS5;EFEMP2;FGF7;ZFP36;EFEMP1;CCND2;SLCO2B1;LEPR;ENPP2;PLS3;SVEP1;MAP3K5;TGM2;KCNH2;PDGFRB;CSGALNACT1;PDGFRA;SCARA3;POSTN;SCARA5;IGFBP5;IGFBP4;TPM1;ANXA13;MIR27B;DIO3;MITF;LIFR;NPNT;FOXP2;GEM;HIC1;RAB31;COL4A6;PGR;ERG;PLA2R1;VCL;FKBP5;ABCG2;ARHGEF25;LY96;DPT;FOXO4;NDRG2;NTS;NID1;FOXO1;FBLN5;SOCS2;GRK5;CALD1;MAP3K20;NDN;CYTL1;IGFBP7;MYH11;IGFBP6;RAI2;PRNP;CBX7;VCAM1;SMAD3;HAND2-AS1;CAV2;CAV1;FBXO32;GATA6-AS1;SELE;SELP;NR4A1;DAB2;CXCL12;NR4A3;FES;OGN;CPE;TCF4;ESAM;NES;FBN1;SNED1;CRISP2;CNTNAP1;THRA;CPQ;ITGB3;FLT4;FHL1;ARRB1;HSPB3;PKD2;PKD1;RERG;SYNE1;GHR;ADAMTS5;THBD;CA3;ADGRE5;ADAMTS1;NPTN;EDIL3;SRGN;KLF11;MYOCD;EGFL7;APOA1;FOXL2;TNFRSF1B;NGF;ASPN;DCN;TGFBR2;ACTA2;TGFBR3;SETBP1;MMRN1;PALLD;COL6A2;ALDH1A2;CRY2;ADGRF5;COL6A1;ALDH1A1;PECAM1;ITGA7;CDH13;COL6A3;PDE5A;RBMS3;ITIH5;COL15A1;LRP1;C1R;LAMA4;NTN4;CRMP1;THBS2;TFPI;THBS1;CLEC3B;EFS;DNAJB4;SLITRK3;S1PR1;STOM;SNCG;FYN;SLIT3;NCAM1;SLIT2;PDLIM5;PDLIM7;MAPK3;PPP1R14A;LGI4;PLA2G2A;ZNF300P1;PTPN13;KLF4;TBX3;KLF2;TBX2;KLF6;MIR145;DES;TEF;BCL6B;MGP;KLF9;NEURL1;PMP22;CD248;CHPT1;SPRY1;TEK;ACKR1;CDO1;RECK
Ovarian Carcinoma	229/2203	2.35148070194536e-18	7.67874861696276e-15	229	0.103949160236042	SPON1;STMN3;CLDN1;AQP1;EDNRA;MPRIP;MYC;RPS6KA2;AKT3;KDR;CYP1B1;JUNB;AGFG2;CHGB;CCBE1;RBFOX2;SERPINF1;CLEC11A;PRKCA;DKK3;HLA-E;AR;CLDN5;SFRP4;SFRP1;CCDC80;PRKAR1A;CRISPLD2;SPARCL1;PLPP3;ATF3;BEX4;SLC22A3;ABCB1;EPAS1;RRAD;GATA6;TWIST2;ABO;EPB41L3;MAP6;STAT5A;HAGLR;NGFR;STAT5B;EGR1;JUN;TIPARP;MCAM;INSR;FN1;ABCA9;SLC16A11;NR2F2;ABCA8;PBX1;IFFO1;EHD2;ID4;SNAI2;ITM2A;NRP1;CD40;BTG1;CDKN1B;CITED2;ELN;WT1-AS;TCF21;HBB;MEOX1;GLI2;AKAP12;GLIPR1;ADAMTSL4;MRC1;ANXA6;TIMP2;TIMP3;RSPO1;CD34;DUSP1;TSC22D3;HBA2;FOS;GAB2;RHOB;CLDN11;KAT2B;ZEB2;ZEB1;DPYD;KCNMA1;MMP19;GAS6;CRYAB;ENG;HBEGF;VGLL3;TNXB;ADH1B;TCEAL7;NT5E;PDPN;CD59;CCL19;FILIP1L;JAM3;RUNX1T1;MAP3K3;IL33;BCHE;CAVIN3;VEGFC;SNCAIP;WT1;AXL;DLC1;FOSB;HSPA1A;GUCY1B1;IRS1;PROS1;PLAT;IRS2;FRY;NR3C1;ETS1;FGF2;CLU;ACTG2;RGS5;EFEMP2;RGS2;FGF7;EFEMP1;CCND2;LEPR;MAP3K5;TGM2;KCNH2;PDGFRB;PDGFRA;SCARA3;IL11RA;MIR27B;LIFR;MID2;HIC1;PROCR;RAB31;SLC9A9;PGR;FKBP5;ABCG2;HTRA3;CHRD;AEBP1;FOXO1;FBLN5;SOCS2;NDN;IGFBP7;WNT4;VCAM1;SMAD3;ZBTB16;CAV1;FBXO32;SELE;DAB2;CXCL12;TCF4;NES;FBN1;CRISP2;BNC2;THRA;ITGB3;FLT4;ARRB1;FHL5;HSPB3;SLC2A4;SYNE1;THBD;ADAMTS1;EMILIN1;PRKG1;KLF11;PPP1R12A;DST;PEG3;TRPC1;APOA1;FOXL2;NGF;DCN;TGFBR2;TGFBR3;MMRN1;ALDH1A2;ALDH1A1;ITGA8;PECAM1;CDH13;ASPA;RBMS3;PPP1R15A;CX3CR1;LRP1;THBS2;THBS1;SNCG;JAZF1;MAPK3;TIE1;PLA2G2A;ZNF300P1;KLF4;KLF2;MFAP5;KLF6;MIR145;NEURL1;CHPT1;SPRY1;TEK;RECK
Breast Carcinoma	423/4963	3.97015320761876e-18	7.67874861696276e-15	423	0.0852307072335281	STMN3;CLDN1;MYLK;ELK3;MPRIP;TMEM88;SOX18;DPYSL2;MYC;AKT3;CYP1B1;JUNB;CHGB;PRIMA1;GABARAPL1;RBFOX2;STARD8;SERPINF1;PRKCA;HSPG2;DKK3;AR;CLDN5;ADCY9;PRKAR1A;FEZ1;GPR161;TXNIP;ATF3;TSPYL5;ENPEP;ABCB1;GATA6;GATA5;ABO;HSD11B1;GJC2;PDGFD;EPB41L3;NGFR;JUN;STARD13;TIPARP;MCAM;FZD7;FN1;NR2F1;NR2F2;ABCA8;FLI1;PBX1;SNAI2;FXYD5;HOXD3;DZIP1;FERMT2;GSTM5;BTG2;BTG1;CDKN1B;ELN;SETD7;TCF21;PYGM;LITAF;GLI3;GLI2;MRC2;TMEM43;MRC1;ANXA6;TIMP2;RSPO3;TIMP3;TIMP4;DUSP1;FOS;TACR1;KAT2B;F8;ZEB2;ZEB1;TAL1;DPYD;KCNMA1;RGN;GAS1;GAS6;CRYAB;ANGPTL1;ENG;HBEGF;KANK2;NFIX;AHNAK;ADCY8;FSTL3;FGD5;FLNA;GPAT3;CCL19;RUNX1T1;BCHE;GSN;F10;CCL21;ADAM33;SULF2;HEYL;FABP3;WT1;CCDC8;ZYX;MSRB3;FOSB;HSPA1A;RERGL;IRS1;PROS1;IRS2;FRY;HNMT;FGF2;CLU;EFEMP2;FGF7;ZFP36;EFEMP1;SLCO2B1;CFL2;LEPR;PLS3;MAP3K5;KCNH2;CSGALNACT1;TLE4;IGFBP5;IGFBP4;ZBTB38;TPM2;TPM1;PIPOX;DIO3;FOXP2;HIC1;MAF;RAB31;SLCO2A1;PGR;ERG;PLA2R1;ITPR1;DPT;FOXO1;SOCS2;MAP3K20;NDN;IGFBP7;NDP;CYBRD1;FOXN3;FBXO32;DAB2;CXCL12;NES;NFE2L1;CNTNAP1;COL14A1;ITGB3;LRRK2;FLT4;CELF2;FHL1;ARRB1;TRH;SYNE1;SGCE;ADAMTS1;EDIL3;PRKG1;DST;PEG3;TRPC1;SH2D3C;APOA1;TNFRSF1B;NGF;PECAM1;PPP1R12B;ITIH5;CX3CR1;COL15A1;LEPROT;LRP1;NTN4;DEPP1;IFI16;DNAJB4;FYN;TIE1;PTPN13;KLF4;TBX3;KLF2;TBX2;MFAP5;KLF6;MGP;KLF9;CDO1;RECK;EPHB6;SLC23A2;CPNE5;ANTXR2;ANTXR1;AQP1;EDNRA;RASSF2;EDNRB;RPS6KA2;KDR;SYNPO;TNS1;DYNC2H1;CIRBP;EBF1;P3H3;TM4SF1;SFRP4;TIAM1;SFRP1;CRISPLD2;TLN1;ZFPM2;PLPP1;PTGFR;SLC22A3;TSHZ3;EPAS1;RRAD;MAOA;TWIST2;ZBTB4;RRAS;APOD;KCNN3;A2M;STAT5A;STAT5B;EGR1;PTPRN2;MAGEE1;TNFSF12;INSR;PDE2A;GADD45G;LPAR6;ID4;CD200;FBXL7;ITM2B;ACVRL1;NRP1;NRP2;CD40;SYNM;CLIC4;CITED2;PTPRM;HBB;AKAP12;CTSO;CTSK;FCER1A;TNFAIP8L3;CD34;GAB1;GFRA1;GAB2;RHOB;TNNT3;DDR2;VGLL3;MAGEH1;TAGLN;TNXB;SATB1;ADH1B;PTGER2;HSD17B6;NT5E;PDPN;TCEAL1;SUSD3;CD59;TBL1X;APBB1;FILIP1L;MAP3K3;IL33;CA11;CAVIN2;CAVIN3;VEGFC;VEGFD;SORBS1;LYVE1;PER1;PER3;AXL;DLC1;TACC1;LOXL4;PLAT;NR3C1;ETS1;RGS2;CCND2;ENPP2;ENPP1;SVEP1;PAMR1;TGM2;PDGFRB;TMOD1;PDGFRA;GUCY1A2;SCARA3;POSTN;ANXA13;MIR27B;LIFR;ATP1B2;NPNT;PROCR;SELENOP;ABCG2;ARHGEF25;NDRG2;NTS;NID1;LPP;ZFP36L2;FBLN5;CALD1;MYH11;RAI2;WNT4;PRNP;CBX7;VCAM1;SMAD3;CAV2;CAV1;SELE;NR4A2;SELP;NR4A1;ARHGAP31;NR4A3;TCF4;CRISP2;THRB;THRA;HSPB8;HSPB3;SLC2A4;PKD2;PKD1;RERG;GHR;NPTN;SRGN;MYOCD;EGFL7;PTGIS;TENT5A;KLF15;DCN;TGFBR2;ACTA2;TGFBR3;SETBP1;ACOX2;MMRN1;PALLD;ALDH1A2;CRY2;ADGRF5;ALDH1A1;CDH13;PDE5A;RBMS3;CRMP1;THBS2;TFPI;THBS1;ALDH1B1;MARVELD1;S1PR1;SNCG;SLIT3;NCAM1;SLIT2;PDLIM5;GBP2;PDLIM7;MAPK3;SNCA;PLA2G2A;ATP2B4;SOD3;MEIS1;MIR145;DES;NEURL1;PMP22;CHPT1;SPRY1;TEK;ACKR1;CPVL
Endometrioma	53/229	4.60647639310725e-18	7.67874861696276e-15	53	0.231441048034935	NRP1;THRA;LRRK2;RASL11A;LMOD1;TRH;NR3C1;CLDN1;ETS1;NR3C2;HERC5;MYC;LEPR;ENPP1;OSR2;DUSP1;ABCC9;FOS;NGF;ACTA2;AR;SLC7A8;SELENOP;SPARCL1;TXNIP;PGR;HBEGF;FKBP5;CFD;PTGFR;TAGLN;MAOB;MAOA;C1R;PTGER2;NDNF;THBS1;FOXO1;DEPP1;ABI3BP;FAM180A;METTL7A;IGFBP6;PLA2G2A;VEGFC;NR1D2;FMO2;NR2F2;SULF2;NR4A1;UST;KLF9;FBN1
Prostatic Neoplasms	177/1554	5.54822876948176e-18	7.67874861696276e-15	177	0.113899613899614	SPON2;STEAP4;IRS1;PROS1;RASL11A;JADE2;NR3C1;ANTXR2;ETS1;FGF2;CLU;EFEMP2;RGS2;FGF7;ZFP36;EDNRA;RASSF2;CCND2;EDNRB;MYC;AKT3;LEPR;KDR;CYP1B1;KCNH2;PDGFRB;TMOD1;PDGFRA;SCARA3;IGFBP5;IGFBP4;IL11RA;SERPINF1;NPY1R;PIPOX;PRKCA;LIFR;HSPG2;DKK3;AR;OLFM1;SFRP4;TIAM1;SELENOP;TXNIP;PGR;ERG;PLA2R1;ATF3;FKBP5;ABCG2;SLC22A3;ABCB1;EPAS1;MAOA;ITPR1;DPT;NTS;FOXO1;CACNA1H;ABO;ZFP36L2;FBLN5;SOCS2;TMEM245;RRAS;PDGFD;EPB41L3;APOD;IGFBP7;MYH11;IGFBP6;A2M;WNT4;STAT5A;NGFR;STAT5B;EGR1;PRNP;JUN;SMAD3;GADD45B;TIPARP;CAV2;ZBTB16;CAV1;MCAM;INSR;FN1;SMARCA2;PBX1;NR4A1;DAB2;CXCL12;SNAI2;HOXD3;NES;ITM2B;NRP1;CRISP2;NRP2;CD40;BTG2;CLIC4;CDKN1B;ITGB3;FLT4;CELF2;TGFB1I1;HSPB3;GLI3;GLI2;AKAP12;GHR;ADAMTS5;GLIPR1;CSRP1;ADAMTS1;CTSK;MRC1;TIMP2;TIMP3;AOX1;TIMP4;PEG3;EMP3;FOS;NGF;CYP7B1;KLF15;DCN;RHOB;TGFBR2;TGFBR3;ZEB1;MMRN1;ALDH1A2;DPYD;KCNMA1;ALDH1A1;PECAM1;ITGA7;CDH13;CRYAB;ENG;HBEGF;CX3CR1;COL15A1;TAGLN;SATB1;PTGER2;THBS1;EHBP1;TCEAL7;NT5E;IFI16;FLNA;FYN;CD59;SLIT2;JAZF1;MAPK3;PLA2G2A;VEGFC;VEGFD;MEIS2;TBX3;HIPK3;KLF6;MEIS1;MIR145;DLC1;TEK;PI16;SSBP2;RECK;HSPA1A
Liver Cirrhosis, Experimental	112/801	9.18903727717317e-18	1.05980229930064e-14	112	0.139825218476904	STEAP4;PLAT;FRY;FGF2;RGS5;LGALS2;RGS2;TUBB6;MYC;NIPAL2;GJA4;ENPP2;PAMR1;PDGFRB;CSGALNACT1;PDGFRA;TPM1;PROCR;ARMCX1;SELENOM;RAB31;PPP1R3C;SELENOP;MYADM;MYL9;ATF3;CFD;ENPEP;ABCB1;LY96;NDRG2;NID1;ZBTB4;SOCS2;C7;IGFBP7;A2M;PRNP;CRTAP;STARD13;MAGEE1;CAV1;FLI1;CXCL12;NBEA;ID4;FXYD6;TCF4;FXYD5;FBN1;CPQ;ITGB3;CELF2;FHL1;MEOX2;PKD2;VSIR;GHR;THBD;GLIPR1;TMEM43;CA3;TIMP2;CLIC2;RAB8B;SRGN;MYOC;ANO6;GFRA1;FOS;INMT;ASPN;TGFBR2;ACTA2;ZEB2;ACOX2;COL6A2;ALDH1A1;COL6A1;RGN;CRYAB;COLEC12;AHNAK;PTGER2;PRUNE2;FGL2;HSD17B6;GNA14;NT5E;IFI16;ABLIM3;ALDH1B1;PALMD;OLFML3;S1PR1;FLNA;FYN;GBP2;GBP4;IL33;GSN;KCNJ8;NAP1L5;SMOC2;MFAP4;KLF6;AXL;MGP;LHFPL6;CDO1;RECK;RAMP1
Malignant neoplasm of prostate	301/3239	3.48845703846737e-17	3.44858895802774e-14	301	0.0929299166409386	EPHB6;SPON2;ANTXR2;MYLK;AQP1;EDNRA;EDNRB;ADGRA2;MYC;RPS6KA2;FAM110B;AKT3;DPYSL3;KDR;CYP1B1;SYNPO;JUNB;TNS1;GABARAPL1;STARD8;SERPINF1;CIRBP;PRKCA;HSPG2;TM4SF1;DKK3;AR;SFRP4;SFRP1;PRKAR1A;TXNIP;SPARCL1;TLN1;ATF3;SLC22A3;ENPEP;ABCB1;TSHZ3;EPAS1;RRAD;MAOA;ZBTB4;ABO;RRAS;PDGFD;EPB41L3;APOD;A2M;STAT5A;NGFR;STAT5B;EGR1;JUN;GADD45B;TIPARP;FZD4;TNFSF12;MCAM;INSR;FN1;PBX3;NR2F2;SMARCA2;FLI1;PBX1;GADD45G;ID4;CREBRF;SNAI2;HOXD3;EZH1;FERMT2;NRP1;NRP2;CD40;BTG2;CLIC4;BTG1;CDKN1B;TGFB1I1;WT1-AS;SETD7;TCF21;GLI2;AKAP12;MRC2;GLIPR1;CSRP1;CTSK;MRC1;PRX;ANXA6;TIMP2;TIMP3;TIMP4;DUSP1;GAB1;EMP3;FOS;CYP7B1;RGMA;RHOB;CLDN11;KAT2B;ZEB2;ZEB1;KCNMA1;RGN;GAS1;GAS6;CRYAB;DDR2;ENG;HBEGF;VGLL3;TAGLN;SATB1;SYNPO2;PTGER2;HAAO;PRUNE2;PTGER3;HSD17B6;TCEAL7;NT5E;FLNA;CD59;FLNC;CCL19;FILIP1L;APOL3;GSN;CAVIN1;VEGFC;LYVE1;SULF2;HEYL;PER1;PER3;WT1;AXL;DLC1;ZYX;FOSB;RAMP1;HSPA1A;PAGE4;STEAP4;FAM13C;IRS1;PROS1;PLAT;IRS2;JADE2;NR3C1;ETS1;FGF2;CLU;EFEMP2;RGS2;FGF7;ZFP36;EFEMP1;CCND2;SLCO2B1;LEPR;ENPP1;MAP3K5;TGM2;KCNH2;CPA3;PDGFRB;TMOD1;PDGFRA;SCARA3;IGFBP5;IGFBP4;IL11RA;TPM2;MIR27B;LIFR;FOXP2;GEM;HIC1;OLFM1;SLC9A9;SELENOP;PGR;MASP1;ERG;PLA2R1;VCL;FKBP5;ABCG2;NPR1;ITPR1;DPT;FOXO4;NDRG2;NTS;NID1;LPP;FOXO1;ZFP36L2;FBLN5;SOCS2;GRK5;CALD1;IGFBP7;MYH11;IGFBP6;WNT4;PRNP;CBX7;VCAM1;SMAD3;CAV2;ZBTB16;CAV1;EPHX2;CRIM1;SELE;NR4A2;NR4A1;DAB2;CXCL12;NR4A3;TCF4;NES;CRISP2;ITGB3;FLT4;CELF2;HSPB8;HSPB3;SLC2A4;PKD1;NRGN;GHR;THBD;ADGRE5;ADAMTS1;AOX1;PPP1R12A;DST;TRPC1;APOA1;DUSP26;NGF;KLF15;ASPN;DCN;TGFBR2;TGFBR3;MMRN1;ALDH1A2;CRY2;COL6A1;ALDH1A1;PECAM1;CDH13;RBMS3;CX3CR1;COL15A1;LRP1;ZBTB46;HSD17B11;THBS2;TFPI;THBS1;EHBP1;PDLIM3;EFS;IFI16;FYN;NCAM1;SLIT2;PDLIM5;PDLIM7;JAZF1;MAPK3;SNCA;PLCL1;PLA2G2A;PTPN13;KLF4;SOD3;MEIS2;TBX3;TBX2;KLF6;MEIS1;MIR145;KLF9;NEURL1;CHPT1;SPRY1;TEK;PI16;SSBP2;RECK
Atherosclerosis	139/1134	8.44925961795142e-17	7.30860956952798e-14	139	0.122574955908289	STEAP4;IRS1;PROS1;PLAT;IRS2;NR3C1;ETS1;CLU;FGF2;MYLK;NR3C2;AQP1;RGS5;RGS2;ZFP36;EDNRA;EDNRB;MPRIP;ADGRA2;SOX18;MYC;GJA4;LEPR;KDR;PDK4;ENPP1;MAP3K5;MEF2C;POSTN;MIR27B;HSPG2;AR;MAF;PLPP3;VCL;CES1;ABCG2;MAOA;PDE1A;ECSCR;CACNA1C;FOXO1;ABO;HSD11B1;HRH1;PDGFD;IGFBP7;EGR1;PRNP;VCAM1;SMAD3;MAGEE1;TNFSF12;CAV1;RARRES2;INSR;EPHX2;FN1;NR2F2;SELE;SELP;NR4A1;CXCL12;NR4A3;SNAI2;NES;NRP1;ROBO3;CRISP2;CD40;CDKN1B;FLT4;ITGB3;ELN;TGFB1I1;TCF21;LDB2;HSPB3;THBD;ADAMTS5;ADAMTS1;CTSK;TIMP3;CD34;MYOCD;PTGIS;DUSP1;APOA1;FOS;KLF15;DCN;TGFBR3;MMRN1;PALLD;PECAM1;CDH13;PDE5A;GAS6;DDR2;HBEGF;ENG;CX3CR1;COLEC12;HDAC5;COL15A1;TAGLN;CTF1;LRP1;PCOLCE2;PTGER3;ADCY8;TFPI;THBS1;NT5E;S1PR1;FLNA;DMD;CD59;SLIT2;CCL19;JAM3;MAPK3;AOC3;IL33;CCL23;CAVIN1;CCL21;TIE1;PLA2G2A;SAMD4A;ADAM33;VEGFD;KLF4;KLF2;MIR145;MGP;CD248;FMOD;HSPA1A
Colorectal Cancer	302/3298	2.40795349595809e-16	1.85144868800333e-13	302	0.0915706488781079	EPHB6;SPON2;ANTXR2;CLDN1;ANTXR1;ISLR;RASSF2;EDNRB;DPYSL2;MYC;FAM110B;KDR;CYP1B1;VSTM4;JUNB;PRIMA1;TNS1;MBNL1;STARD8;SERPINF1;ANK2;HSPG2;TM4SF1;DKK3;HLA-E;AR;SFRP4;TIAM1;SFRP1;PPP1R3C;PRKAR1A;CRISPLD2;SPARCL1;ATF3;TSPYL5;SLC22A3;ABCB1;TTYH2;EPAS1;GATA6;TWIST2;GATA5;PCDH17;ABO;GJC1;PDGFD;APOD;STAT5A;NGFR;STAT5B;EGR1;JUN;STARD13;AFAP1L2;AFAP1L1;PTPRN2;APOBEC3G;GADD45B;TIPARP;FZD4;FZD7;INSR;PDE2A;FN1;ABCA9;PBX3;NR2F2;ABCA8;CCDC9B;GADD45G;SPART;SMTN;ID4;SNAI2;DCHS1;FBXL3;HOXD9;FERMT2;HOXD8;GSDME;NRP1;NRP2;CD40;CDKN1B;ELN;LITAF;GLI3;AKAP12;ADAMTSL3;MMP28;MRC1;TIMP2;RSPO3;TIMP3;CD34;PSD;KCND3;DUSP1;GAB1;FOS;GAB2;RHOB;KAT2B;ZEB2;TUBB2A;ZEB1;DPYD;GAS1;CRYAB;PDZRN4;ANGPTL1;ENG;HBEGF;TAGLN;SATB1;ADH1B;PTGER2;ADCY8;SLC7A2;NT5E;FLNA;DMD;CD59;FLNC;CCL19;TBL1X;FILIP1L;RUNX1T1;AOC3;RIC3;IL33;GSN;CAVIN1;CAVIN3;VEGFC;VEGFD;SORBS1;LYVE1;CEBPA-DT;SULF2;PER1;SMOC2;PER3;WT1;AXL;DLC1;FOSB;HSPA1A;PAGE4;RERGL;CLSTN2;IRS1;GALNT15;PROS1;PLAT;IRS2;FRY;HNMT;NR3C1;ETS1;FGF2;CLU;NR3C2;TUBB6;FGF7;EFEMP1;CCND2;LEPR;PLS3;TGM2;KCNH2;PDGFRB;TLE4;PDGFRA;GUCY1A2;POSTN;SCARA5;CD93;IGFBP4;TPM2;TPM1;MIR27B;LIFR;PDGFRL;GEM;HIC1;MAF;SLCO2A1;SELENOP;COL4A6;PGR;MASP1;ERG;VCL;ABCG2;LTBP4;LY96;FOXO4;NDRG2;NTS;NID1;LPP;ZFP36L2;SOCS2;HRH1;CALD1;NDN;IGFBP7;MYH11;LONRF2;WNT4;PRNP;CBX7;VCAM1;SMAD3;CAV2;ZBTB16;RARRES2;CAV1;DSTN;CYBRD1;CORO2B;SELE;NR4A2;NR4A1;LRCH1;CXCL12;FES;CPE;TCF4;CRISP2;HSPB6;CNRIP1;CALCOCO2;ITGB3;FLT4;HSPB3;SLC2A4;PKD2;PKD1;SYNE1;GHR;SGCE;ADAMTS5;ADGRE5;DACT3;PPP1R12A;PTGIS;PEG3;FOXL2;TENT5A;TNFRSF1B;NGF;DCN;TGFBR2;SETBP1;MMRN1;PALLD;CRY2;MMRN2;ALDH1A1;PECAM1;CDH13;COL6A3;PDE5A;RBMS3;LRP1;LAMA2;C1R;TFPI;THSD1;THBS1;RASD2;EFS;ATOH8;SNCG;SLIT3;SLIT2;PDLIM5;JAZF1;MAPK3;SNCA;PPP1R14A;TIE1;PLA2G2A;PTPN13;KLF4;BICC1;TBX3;KLF6;MEIS1;MIR145;DES;MGP;KLF9;NEURL1;PMP22;CD248;CHPT1;TEK;CDO1;RECK
Hypertensive disease	152/1310	3.53715304065249e-16	2.41491270632953e-13	152	0.116030534351145	IRS1;PLAT;IRS2;NR3C1;FGF2;CLU;SLC8A1;MYLK;NR3C2;ELK3;AQP1;RGS5;RGS2;EDNRA;EDNRB;GJA4;LEPR;KDR;ENPP1;CYP1B1;PDE8B;JUNB;TGM2;CHGB;PDGFRB;PDGFRA;POSTN;RBFOX2;CACNA2D1;TPM1;NPY1R;PRKCA;HSPG2;AR;PRKAR1A;TXNIP;ATF3;VCL;SLC22A3;ENPEP;ABCB1;CALCRL;EPAS1;ARHGEF25;NPR1;GATA5;CACNA1C;FOXO1;CACNA1H;ABO;HSD11B1;GJC1;GRK5;KCNMB1;MYH11;KCNN3;STAT5A;NGFR;EGR1;JUN;VCAM1;SMAD3;MAGEE1;TIPARP;RARRES2;CAV1;INSR;EPHX2;FN1;NR2F2;SELE;SELP;NR4A3;FES;OGN;ITM2B;GSTM5;FBN1;ACVRL1;CLIC4;ROBO4;THRA;CPQ;ELN;FHL1;HTR2B;TRH;SLC2A4;PKD2;LITAF;ARHGAP6;PKD1;GHR;THBD;C1QTNF1;NPTN;EMILIN1;PRKG1;MYOCD;PTGIS;DUSP1;AVPR2;APOA1;ABCC9;FOS;TACR1;AVPR1A;TNFRSF1B;NGF;DCN;TGFBR2;ACTA2;TGFBR3;KCNMA1;CRY2;ITGA8;CASQ2;CDH13;PDE5A;LYPLAL1;ENG;CX3CR1;RAMP2;TAGLN;CTF1;TNXB;LRP1;ADH1B;THBS1;ADCY5;GNA14;NT5E;PLN;FLNA;DMD;CD59;AOC3;GABBR1;KCNJ8;CCL21;SORBS1;KLF4;SOD3;TBX3;MFAP5;FABP3;KLF6;WT1;FOSB;TEK;CDO1;RAMP1
