Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
extracellular matrix organization (GO:0030198)	56/300	1.30657486819562e-14	5.04076584149872e-11	56	0.186666666666667	ECM2;COL16A1;COL14A1;ELN;ITGB3;LOXL4;FGF2;ADAMTSL1;ADAMTS5;ADAMTSL5;SH3PXD2A;ADAMTSL4;ADAMTS1;ADAMTSL3;CTSK;MMP28;KDR;TIMP2;CYP1B1;CTSG;TPSAB1;POSTN;DST;NPNT;HSPG2;DCN;COL6A2;COL6A1;COL4A6;ITGA8;PECAM1;MMP19;COL6A3;ITGA7;GAS6;DDR2;COL15A1;LAMA2;LAMA4;DPT;NDNF;NID1;THBS1;FBLN5;A2M;JAM2;JAM3;CRTAP;GSN;VCAM1;FN1;MFAP5;SMOC2;ITGA11;RECK;FBN1
extracellular structure organization (GO:0043062)	44/216	3.97407726462381e-13	6.05174159857084e-10	44	0.203703703703704	COL15A1;ECM2;COL16A1;LAMA2;COL14A1;ELN;ITGB3;LAMA4;NDNF;NID1;FGF2;THBS1;FBLN5;ADAMTSL1;ADAMTS5;ADAMTSL5;SH3PXD2A;ADAMTSL4;ADAMTS1;ADAMTSL3;MMP28;KDR;JAM2;JAM3;POSTN;VCAM1;FN1;NPNT;HSPG2;DCN;MFAP5;SMOC2;COL6A2;ITGA11;COL6A1;COL4A6;ITGA8;PECAM1;MMP19;COL6A3;ITGA7;RECK;DDR2;FBN1
external encapsulating structure organization (GO:0045229)	44/217	4.70586438458075e-13	6.05174159857084e-10	44	0.202764976958525	COL15A1;ECM2;COL16A1;LAMA2;COL14A1;ELN;ITGB3;LAMA4;NDNF;NID1;FGF2;THBS1;FBLN5;ADAMTSL1;ADAMTS5;ADAMTSL5;SH3PXD2A;ADAMTSL4;ADAMTS1;ADAMTSL3;MMP28;KDR;JAM2;JAM3;POSTN;VCAM1;FN1;NPNT;HSPG2;DCN;MFAP5;SMOC2;COL6A2;ITGA11;COL6A1;COL4A6;ITGA8;PECAM1;MMP19;COL6A3;ITGA7;RECK;DDR2;FBN1
negative regulation of cellular process (GO:0048523)	78/566	2.33649909726717e-12	2.25355337931419e-09	78	0.137809187279152	ACVRL1;RIPOR2;BTG2;BTG1;CDKN1B;TGFB1I1;FHL1;HTR2B;ADARB1;PKD2;CLU;FGF2;ETS1;RERG;PIP4P2;ADAMTS1;MYC;RPS6KA2;ANXA6;CCN5;CYP1B1;CCN4;ENPP1;DACT3;SPEG;EMILIN1;CCN2;CCN1;CD34;TNS2;TSPYL2;KLF11;PACRG;MYOCD;DUSP1;AVPR2;APOA1;P3H3;NGF;TNFRSF1B;RHOB;TGFBR3;AR;KAT2B;SFRP4;SFRP1;ALDH1A2;TXNIP;CDH13;CRYAB;PLPP1;KANK2;NPR1;FOXO4;NACC2;PDPN;IGFBP7;SLIT3;IGFBP6;APBB1;SLIT2;JAM2;APOBEC3C;CCL23;SMAD3;APOBEC3G;KLF4;PODN;SMARCA2;NR4A1;FABP3;WT1;DLC1;NEURL1;FERMT2;CD200;GSDME;HSPA1A
regulation of cell population proliferation (GO:0042127)	94/764	9.72819520531493e-12	7.506275420421e-09	94	0.12303664921466	ACVRL1;BTG2;BTG1;CDKN1B;IRS1;ELN;TGFB1I1;FLT4;HTR2B;IRS2;ADARB1;PKD2;CLU;FGF2;ETS1;RERG;FGF7;CCND2;ADAMTS1;MYC;RPS6KA2;KDR;CYP1B1;SPEG;JUNB;TNS2;PDGFRB;OSR2;PDGFRA;KLF11;MYOCD;RBFOX2;IL11RA;CLEC11A;AVPR2;LIFR;P3H3;AVPR1A;GAB2;NGF;ECRG4;TGFBR2;AR;CLDN5;KAT2B;SFRP4;TIAM1;SFRP1;ALDH1A2;CDH13;PLPP1;TSPYL5;ENG;HBEGF;KANK2;BEX4;PTGFR;CTF1;FOXO4;THBS1;GRK5;PDGFD;NACC2;PDPN;IGFBP7;IGFBP6;STAT5A;STAT5B;JUN;CCL23;INSR;IL34;FN1;VEGFC;VEGFD;KLF4;PODN;MEIS3;SMARCA2;MEIS2;TBX3;TBX2;BST1;FABP3;MEIS1;NR4A3;WT1;FES;DLC1;BCL6B;NEURL1;CD200;GSDME;HSPA1A
regulation of endothelial cell proliferation (GO:0001936)	26/92	1.19153897300286e-11	7.66159559640839e-09	26	0.282608695652174	ACVRL1;NRP1;NRP2;FLT4;ITGB3;HTR2B;PTPRM;FGF2;THBS1;AKT3;ATOH8;KDR;PPP1R16B;STAT5A;EGFL7;CAV2;CAV1;TIE1;TNFSF12;VEGFC;PRKCA;VEGFD;NR2F2;NR4A1;CDH13;TEK
regulation of angiogenesis (GO:0045765)	40/203	1.3928316346048e-11	7.67649206615045e-09	40	0.197044334975369	CD40;RAMP2;BTG1;HSPB6;NPR1;GATA6;ECSCR;PTPRM;FOXO4;THBS2;ETS1;FGF2;THBS1;AQP1;RRAS;ADGRA2;ADAMTS1;KDR;CYP1B1;EMILIN1;CD34;PPP1R16B;PTGIS;SERPINF1;TNFSF12;TIE1;GAB1;ATP2B4;VEGFC;PRKCA;VEGFD;KLF4;HSPG2;DCN;RHOB;CLDN5;SMOC2;SFRP1;RHOJ;TEK
sprouting angiogenesis (GO:0002040)	19/52	4.81176643921334e-11	2.32047436531063e-08	19	0.365384615384615	ACVRL1;NRP1;CCBE1;RAMP2;FLT4;VEGFC;PARVA;VEGFD;FGF2;THBS1;NR4A1;ADGRA2;KDR;RSPO3;CDH13;SLIT2;TEK;RECK;ENG
positive regulation of cell differentiation (GO:0045597)	45/258	5.72824019381776e-11	2.45550562974988e-08	45	0.174418604651163	ACVRL1;CRB2;RIPOR2;BTG1;TGFB1I1;GATA5;CREBL2;MEDAG;ZFP36;RRAS;GLIPR2;PDPN;BOC;KDR;CCN4;CCN2;CCN1;CD34;CDON;CMKLR1;WNT4;MEF2C;SMAD3;RARRES2;ZBTB16;PLA2G2A;NPNT;NGF;TGFBR2;AR;TIAM1;HEYL;OLFM1;MAPK11;SFRP1;DAB2;ZEB1;FES;TMEM119;TCF4;HOXD3;NBL1;RBM24;FERMT2;DDR2
muscle organ development (GO:0007517)	19/58	4.24699574536534e-10	1.63849095856195e-07	19	0.327586206896552	MEF2C;TAGLN;CTF1;LAMA2;FHL1;TCF21;CACNA1H;SGCE;SMTN;EVC;SGCA;ITGA11;SPEG;COL6A3;ITGA7;DMD;ITGB1BP2;VAMP5;HBEGF
