Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
actin binding (GO:0003779)	28/177	1.83080198682671e-06	0.000681088480011148	28	0.15819209039548	LRRK2;SYNPO2;LDB3;ADCY8;SYNE1;PDLIM3;CALD1;DMD;SYNPO;PDLIM5;PDLIM7;CAP2;SNCA;TMOD1;PACRG;GSN;TPM2;TPM1;PARVA;SORBS1;CORO2B;SMTN;MAP1A;KCNMA1;TNNT3;FXYD5;VCL;FERMT2
transcription regulatory region nucleic acid binding (GO:0001067)	31/212	2.9204865892834e-06	0.000681088480011148	31	0.14622641509434	HDAC5;CALCOCO1;BNC2;THRA;GATA6;GATA5;ETS1;SOX18;TBL1X;SNCA;KCNH2;EGR1;KLF11;MEF2C;EGR2;JUN;SMAD3;FOS;KLF4;SMARCA2;KLF15;FLI1;PBX1;AR;PER1;PER3;TAL1;WT1;HAND2;CRY2;ATF3
glucocorticoid receptor binding (GO:0035259)	6/9	3.05878059885246e-06	0.000681088480011148	6	0.666666666666667	NR4A2;NR4A1;STAT5B;NR4A3;SMAD3;TACC1
sequence-specific double-stranded DNA binding (GO:1990837)	72/712	6.02597009519699e-06	0.000892208283570804	72	0.101123595505618	CALCOCO1;THRB;BNC2;THRA;TCF21;MEOX2;NR3C1;MEOX1;ETS1;GLI3;ELK3;GLI2;NR3C2;SOX18;JUNB;PKNOX2;TSPYL2;KCNH2;OSR2;KLF11;MEF2C;MBNL2;RFX2;FOXL2;FOS;KLF15;HIC1;AR;MAF;TAL1;HAND2;CRY2;ERG;ATF3;HDAC5;NFIX;HLF;GATA6;GATA5;FOXO4;TBL1X;SNCA;EGR1;JUN;EGR2;SMAD3;NR2F1;NR1D2;KLF4;MEIS3;SMARCA2;MEIS2;FLI1;PBX1;KLF2;TBX3;TBX2;NR4A2;PER1;NR4A1;KLF6;PER3;TEF;WT1;BCL6B;SNAI2;FOSB;HOXD4;TCF4;HOXD3;HOXD9;HOXD8
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	41/333	7.25795262291068e-06	0.000892208283570804	41	0.123123123123123	HLF;TCF21;FOXO4;MEOX2;NR3C1;LITAF;ETS1;FOXO1;ELK3;SOX18;MYC;ZNF521;EGR1;OSR2;MEF2C;EGR2;JUN;SMAD3;ZBTB16;MITF;KLF4;MEIS3;KLF15;MEIS2;NR4A2;AR;NR4A1;KLF7;KLF6;MEIS1;NR4A3;WT1;HAND2;CREBRF;HOXD4;PGR;TCF4;HOXD3;ERG;ATF3;HOXD8
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	14/60	8.0138468584204e-06	0.000892208283570804	14	0.233333333333333	EPHB6;PDGFRB;NRP1;PDGFRA;NRP2;FLT4;INSR;TIE1;CRIM1;EFEMP1;AXL;KDR;TEK;DDR2
muscle alpha-actinin binding (GO:0051371)	7/15	1.05759077959111e-05	0.00100924377252408	7	0.466666666666667	PDLIM3;PALLD;SYNPO2;LDB3;PKD2;PDLIM5;PDLIM7
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	5/7	1.36966267553377e-05	0.00101659407472951	5	0.714285714285714	PDE1C;PDE1B;PDE1A;PDE2A;PDE5A
vascular endothelial growth factor-activated receptor activity (GO:0005021)	5/7	1.36966267553377e-05	0.00101659407472951	5	0.714285714285714	NRP1;PDGFRA;NRP2;FLT4;KDR
cell-cell adhesion mediator activity (GO:0098632)	11/42	2.33319546677705e-05	0.00155857457180707	11	0.261904761904762	ROBO3;ROBO4;PALLD;NPTN;NEXN;VSTM2L;CDC42EP1;ESAM;PDLIM5;CD200;JAM3
