Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Focal adhesion	40/201	1.00636916477585e-11	2.77757889478134e-09	40	0.199004975124378	SHC2;TNXB;LAMA2;FLT4;ITGB3;LAMA4;THBS2;THBS1;MYLK;CCND2;PDGFD;AKT3;KDR;FLNA;FYN;FLNC;MAPK3;PDGFRB;PDGFRA;JUN;PPP1R12A;CAV2;CAV1;FN1;VEGFC;PRKCA;PARVA;VEGFD;COL6A2;ITGA11;COL6A1;ZYX;COL4A6;ITGA8;COL6A3;ITGA7;TLN1;PPP1R12B;MYL9;VCL
Vascular smooth muscle contraction	31/133	3.21238461520865e-11	4.43309076898793e-09	31	0.233082706766917	RAMP2;GUCY1B1;CALCRL;NPR1;NPR2;ITPR1;ADCY4;CACNA1C;ADCY8;ACTG2;MYLK;ADCY5;EDNRA;CALD1;KCNMB1;MYH11;PRKG1;MAPK3;GUCY1A2;PPP1R14A;PPP1R12A;PLA2G2A;IRAG1;PRKCA;AVPR1A;ACTA2;ADCY9;KCNMA1;PPP1R12B;MYL9;RAMP1
cGMP-PKG signaling pathway	34/167	1.87873261959639e-10	1.72843401002868e-08	34	0.203592814371257	GUCY1B1;IRS1;NPR1;NPR2;ITPR1;ADCY4;IRS2;CACNA1C;ADCY8;SLC8A1;MYLK;SLC8A2;ADCY5;EDNRA;RGS2;EDNRB;PLN;KCNMB1;AKT3;PRKG1;MAPK3;GUCY1A2;MEF2C;PPP1R12A;KCNJ8;INSR;PDE2A;IRAG1;ATP2B4;ATP1B2;ADCY9;KCNMA1;PDE5A;MYL9
Calcium signaling pathway	37/240	8.45914173588023e-08	5.83680779775736e-06	37	0.154166666666667	PTGFR;PDE1C;PDE1B;PDE1A;FLT4;PTGER3;ADCY4;ITPR1;HTR2B;CACNA1C;ADCY8;FGF2;SLC8A1;CACNA1H;MYLK;SLC8A2;GNA14;EDNRA;FGF7;HRH1;EDNRB;PLN;PDGFD;KDR;PDGFRB;PDGFRA;TACR2;ATP2B4;VEGFC;PRKCA;VEGFD;AVPR1A;TACR1;NGF;ITPKB;ADCY9;CASQ2
Cell adhesion molecules	27/148	1.51427619329755e-07	8.35880458700248e-06	27	0.182432432432432	NLGN3;CD40;CNTNAP1;PTPRM;NRXN2;CD99L2;CLDN1;VSIR;NCAM1;CD34;JAM2;LRRC4B;JAM3;VCAM1;NEGR1;SELE;HLA-E;SELP;CLDN11;CLDN5;CLDN10;MAG;NFASC;ITGA8;PECAM1;ESAM;CD22
MAPK signaling pathway	40/294	7.6891215519422e-07	3.53699591389341e-05	40	0.136054421768707	FLT4;ARRB1;CACNA1C;RASGRP2;FGF2;CACNA1H;FGF7;RRAS;MYC;RPS6KA2;PDGFD;AKT3;KDR;MAP3K20;FLNA;FLNC;MAP3K5;MAPK3;PDGFRB;NGFR;MAP3K3;PDGFRA;MEF2C;JUN;GADD45B;DUSP1;CACNA2D1;INSR;VEGFC;PRKCA;VEGFD;FOS;GNG12;NGF;GADD45G;TGFBR2;NR4A1;MAPK11;TEK;HSPA1A
Dilated cardiomyopathy	19/96	2.93496971144181e-06	0.000115721662908277	19	0.197916666666667	LAMA2;ITGB3;CACNA2D1;TPM2;TPM1;ADCY4;CACNA1C;ADCY8;SLC8A1;SLC8A2;ADCY5;ADCY9;PLN;DES;SGCA;ITGA11;ITGA8;ITGA7;DMD
Apelin signaling pathway	23/137	5.40614869755967e-06	0.000169318898925535	23	0.167883211678832	EGR1;HDAC5;GABARAPL1;MEF2C;SMAD3;ITPR1;ADCY4;PLAT;GNG12;ADCY8;GNG11;SLC8A1;KLF2;MYLK;SLC8A2;ADCY5;ACTA2;ADCY9;RRAS;GNG7;AKT3;CCN2;MAPK3
AGE-RAGE signaling pathway in diabetic complications	19/100	5.52126844322395e-06	0.000169318898925535	19	0.19	STAT5A;EGR1;STAT5B;JUN;SMAD3;VCAM1;CDKN1B;FN1;VEGFC;PRKCA;VEGFD;SELE;FOXO1;TGFBR2;THBD;MAPK11;AKT3;COL4A6;MAPK3
Proteoglycans in cancer	29/205	1.15958766549262e-05	0.000307222848984267	29	0.141463414634146	ITGB3;TWIST2;ITPR1;FGF2;THBS1;RRAS;MYC;AKT3;KDR;TIMP3;FLNA;FLNC;WNT4;MAPK3;PPP1R12A;FZD4;CAV2;FZD7;CAV1;FN1;GAB1;ANK2;PRKCA;HSPG2;DCN;TIAM1;MAPK11;PPP1R12B;HBEGF
