Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
KLF11 (human)	124/1388	2.18505428606168e-06	0.000633256304159441	124	0.0893371757925072	PRDM8;SPON2;TPSB2;COL16A1;MRGPRF;FAM107A;LOXL4;STMN3;KNDC1;NR3C2;ISLR;ZFP36;CCND2;TMEM88;SOX15;FAM110B;CMKLR1;KCNH2;PDGFRB;TSPYL2;MAMSTR;CIRBP;DKK3;CLDN5;OLFM1;MAG;SLCO2A1;MXRA8;MYADM;SERPING1;MYL9;NBL1;C3ORF70;RRAD;ARHGEF25;NXPH3;GATA5;NDRG2;FOXO1;CACNA1H;HRH1;DPP6;GJC2;TSPAN4;TPPP;IGFBP6;GPIHBP1;STAT5A;GGT5;NGFR;ZBTB16;PDE2A;NR1D2;SSC5D;CORO2B;GADD45G;NR4A2;NR4A1;CXCL12;ITGA11;HOXD4;FXYD5;HOXD3;ACVRL1;NRP1;ROBO3;THRA;DIRAS1;FHL1;HSPB7;STON1;ARRB1;LDB3;GLI3;NRGN;THBD;ADAMTSL5;PRX;TIMP2;PGM5;TPSAB1;SCARF1;EGFL7;PTGIS;KCND3;AVPR2;HBA2;NAALADL1;MMRN2;TNNT3;PDE5A;GAS6;CRYAB;RBM24;VAMP2;ENG;ITIH5;TNXB;DCAF12L2;NRXN2;LTC4S;PHYHIP;RASIP1;FSTL3;FLNA;SUSD3;PDLIM7;SVIL;SLC12A4;GABBR1;AHNAK2;ATP2B4;MEIS3;SOD3;TBX3;NAP1L5;BCL6B;ZYX;PMP22;CD248;ASB2;SSBP2;RAMP1;LIMS2
HINFP (human)	236/3047	4.3908209321453e-06	0.000633256304159441	236	0.0774532326878897	SLC23A2;SPON1;STMN3;ADARB1;AQP1;HERC5;ISLR;DPYSL2;MYC;DPYSL3;GJA4;CYP1B1;JUNB;PRIMA1;CDON;TSPYL2;MEF2C;RBFOX2;MBNL2;CACNA2D1;SFMBT2;SERPINF1;OMD;EBF1;HSPG2;DKK3;AR;SFRP1;CCDC80;SPARCL1;MXRA7;CCDC81;ZFPM2;FREM1;NBL1;ATF3;TTYH2;TSHZ3;MAOB;EPAS1;RRAD;PDE1B;STXBP1;CD99L2;ABO;HSD11B1;APH1B;TSPAN4;FAM180A;STAT5A;EGR1;PTPRN2;TIPARP;FZD4;PDE2A;PBX3;NR1D2;PARVA;NR2F2;ABCA8;SMARCA2;HSPA12B;PBX1;SMTN;ID4;SNAI2;SRPX;BTG2;BTG1;CITED2;DIRAS1;ELN;TGFB1I1;STON1;PTH1R;LRRC32;GLI3;JPH4;SHE;JPH2;NCS1;FCER1A;RSPO3;RNF150;GPRASP1;TIMP4;ZCCHC24;PACRG;TSC22D3;DENND2A;GAB1;AVPR1A;RGMA;ITPKB;F8;KCNMA1;FIBIN;CDC42EP1;GAS6;VAMP2;ANGPTL1;HBEGF;TNXB;SATB1;PRUNE2;FSTL3;SH3BGRL;TCEAL4;TCEAL3;SUSD3;DMD;RUNX1T1;TM4SF18;GSN;KCNB1;KLHL4;SORBS1;PLXDC2;SNCAIP;PER3;WT1;MORN5;ZYX;HSPA1A;PRDM8;RERGL;STEAP4;LOXL4;KNDC1;OLFML2A;NR3C1;ETS1;ACTG2;SLC8A1;ZFP36;EFEMP1;CCND2;CFL2;LEPR;PLS3;SLC16A2;MB21D2;TGM2;KCNH2;IGFBP5;IL11RA;TPM2;FBXO17;ANXA13;MID2;ARMCX1;FRMD6;DOK5;MYADM;FKBP7;NPTXR;AEBP1;RASGRP2;LPP;CACNA1H;PDZD4;HRH1;CALHM2;NACC2;MPDZ;LRRC4B;CBX7;CAV2;GFPT2;ZBTB16;CAV1;DSTN;NR4A1;UST;AMOTL2;TCF4;SNAP25;ANKRD33B;THRA;HSPB6;LRRK2;FHL1;HSPB7;CLEC14A;FHL5;LDB2;CLEC1A;EDIL3;PRKG1;SH3D19;PEG3;SH2D3C;VSTM2L;KLF15;DCN;SETBP1;RASA3;PALLD;COL6A2;MMRN2;COL6A3;RBM24;ASPA;ITIH5;LEPROT;SLC24A3;C1S;CRMP1;NRXN2;FBXL22;CLMP;IFI16;ALDH1B1;PALMD;DNAJB4;STOM;SLIT2;GBP2;PDLIM7;GBP4;JAZF1;KCNJ8;PLA2G2A;AHNAK2;NAP1L3;NAP1L5;ENOX1;MFAP4;NFASC;MEIS1;DES;TEF;TSPAN18;BCL6B;OTUD1;RBM43
CACYBP (human)	119/1350	6.72813686734076e-06	0.000633256304159441	119	0.0881481481481481	SPON2;TPSB2;COL16A1;RASL11A;MRGPRF;STMN3;KNDC1;ADARB1;NR3C1;SLC8A2;CCND2;VSIG2;FAM110B;GJA4;LEPR;CYP1B1;AGFG2;KCNH2;TLE4;FNBP1;MAMSTR;TPM2;FBXO17;ATP1B2;DKK3;FNDC5;CLDN5;MAG;MXRA8;NPTXR;KANK3;FKBP5;TTYH1;RRAD;ARHGEF25;NXPH3;RASGRP2;NDRG2;ZBTB4;FOXO1;HRH1;GJC2;TSPAN4;GPIHBP1;STAT5A;GGT5;JUN;PTPRN2;APOBEC3G;ATP8B2;GADD45B;MCAM;PDE2A;FOXN3;FLI1;NR4A2;NR4A1;CXCL12;FES;FXYD5;HOXD3;SNAP25;CSRNP1;ROBO3;CNTNAP1;THRA;COL14A1;GRIK5;DIRAS1;TGFB1I1;FHL1;HSPB7;STON1;ARRB1;LRRC32;THBD;ADAMTSL5;CRTAC1;PRX;TIMP2;SPEG;TPSAB1;LYNX1;EGFL7;PTGIS;ARHGEF15;KCND3;AVPR2;RAB3IL1;HBA2;TUBB2A;COL6A2;MMRN2;IL3RA;TNNT3;CRYAB;VAMP2;ENG;CRB2;KANK2;ITIH5;TNXB;ADCY4;LTC4S;SUSD3;SNCG;TBL1X;SLC25A25;CA11;SVIL;SLC12A4;F10;SOD3;NAP1L5;MAPK11;FABP3;ASB2;RAMP1;LIMS2
KLF4 (human)	128/1485	8.90487998315268e-06	0.000633256304159441	128	0.0861952861952862	PRDM8;SPON2;TPSB2;COL16A1;MRGPRF;FAM107A;LOXL4;STMN3;KNDC1;NR3C2;ISLR;ZFP36;CCND2;TMEM88;SOX15;FAM110B;CMKLR1;KCNH2;PDGFRB;TSPYL2;MAMSTR;CIRBP;EBF1;DKK3;CLDN5;OLFM1;MAG;SLCO2A1;MXRA8;MYADM;SERPING1;MYL9;NBL1;C3ORF70;RRAD;ARHGEF25;NXPH3;GATA5;RASGRP2;NDRG2;FOXO1;CACNA1H;HRH1;DPP6;GJC2;TSPAN4;TPPP;IGFBP6;GPIHBP1;STAT5A;GGT5;NGFR;ZBTB16;PDE2A;NR1D2;SSC5D;CORO2B;GADD45G;NR4A2;NR4A1;CXCL12;ITGA11;HOXD4;FXYD5;HOXD3;ACVRL1;NRP1;ROBO3;THRA;DIRAS1;FHL1;HSPB7;STON1;ARRB1;LDB3;GLI3;NRGN;MRC2;THBD;ADAMTSL5;PRX;TIMP2;PGM5;TPSAB1;SCARF1;EGFL7;PTGIS;KCND3;AVPR2;HBA2;NAALADL1;MMRN2;TNNT3;PDE5A;GAS6;CRYAB;RBM24;VAMP2;ENG;ITIH5;TNXB;DCAF12L2;NRXN2;LTC4S;PHYHIP;RASIP1;FSTL3;FLNA;SUSD3;STX2;PDLIM7;SVIL;SLC12A4;GABBR1;AHNAK2;ATP2B4;MEIS3;SOD3;TBX3;NAP1L5;BCL6B;ZYX;PMP22;CD248;ASB2;SSBP2;RAMP1;LIMS2
CBEPA (human)	119/1366	1.16268207367736e-05	0.000633256304159441	119	0.0871156661786237	EPHB6;SPON2;COL16A1;TMEM200A;IRS1;TUSC1;MRGPRF;DIXDC1;STMN3;ETS1;NR3C2;AQP1;EDNRB;SOX15;FAM110B;LEPR;PDE8B;JUNB;PDGFRB;CCBE1;SCARA3;RBFOX2;MBNL2;ANK2;MITF;MYADM;CCDC81;ZFPM2;NBL1;ATF3;VCL;TTYH2;PDE1C;STXBP1;LTBP4;CACNA1C;ZNF25;ZBTB4;HSD11B1;HRH1;CALD1;PDGFD;MAP6;CYTL1;KCNN3;RAI2;LRRC4B;SMAD3;ATP8B2;FZD4;WSCD2;PDE2A;PBX3;NR2F1;NR1D2;SSC5D;SMARCA2;FLI1;PBX1;ID4;AMOTL2;SERINC1;ECM2;THRB;FHL1;STON1;CHRDL1;JPH2;GLIPR1;UBL3;ADAMTSL5;SH3PXD2A;BOC;TIMP2;RSPO3;EDIL3;PRKG1;KLF11;MAMDC2;AVPR2;COPZ2;VSTM2L;RAB3IL1;ANO6;NGF;ITPKB;SLC7A8;GAS6;CRYAB;SCN4B;RBMS3;CX3CR1;LEPROT;TNXB;LRP1;C1R;SATB1;ADH1B;AMIGO2;NTN4;NRXN2;EHBP1;ADCY5;NRIP2;ATOH8;OLFML1;PDPN;DMD;TM4SF18;CA11;SAMD4A;ATP2B4;SNX21;PLXDC2;MEIS2;FABP3;WT1;DLC1;MAMLD1
TCFAP2A (human)	119/1367	1.20238538764451e-05	0.000633256304159441	119	0.0870519385515728	PRDM8;CPNE5;IRS1;KNDC1;IRS2;ADARB1;NR3C1;NR3C2;SYDE1;TUBB6;CCND2;MPRIP;TMEM88;PALM;PDE8B;JUNB;RBFOX2;DIO3;PRKCA;EBF4;HSPG2;HIC1;DKK3;FRMD6;ADCY9;GPR161;MYADM;MXRA7;ZFPM2;NBL1;CDKL1;GNAZ;PDE1C;TSHZ3;TWIST2;LTBP4;LTBP2;CACNA1C;RASGRP2;FOXO1;CACNA1H;ABO;ZFP36L2;PDZD4;DPP6;INPP5A;GRK5;NACC2;TSPAN4;TPPP;WNT4;EGR1;AFAP1L1;PTPRN2;SMAD3;GADD45B;CAV1;FZD7;INSR;PBX3;CRIM1;RASSF8;NR1D2;NR2F2;FBXO32;CORO2B;NR4A1;HOXD9;FERMT2;NRP1;ANKRD33B;BNC2;DIRAS1;FHL1;PTPRM;LITAF;GLI3;TMEM47;SHE;ADAMTSL3;NCS1;RBPMS2;ZNF521;CGNL1;KLF11;KCND3;GAB1;FOS;GAB2;RGMA;F8;ZEB1;SETBP1;COL6A2;KCNMA1;CDC42EP1;GAS1;PDE5A;RBM24;NFIX;APOLD1;FSTL3;RASD2;MAN1C1;SLIT2;APBB1;SLC12A4;SAMD4A;LYSMD2;VEGFC;KLF4;HIPK3;TBX2;MAPK11;KLF7;KLF6;PER3;SPRY1;OTUD1
SP1 (human)	121/1406	1.71506770434488e-05	0.000774230563675689	121	0.0860597439544808	PRDM8;SLC23A2;CPNE5;TMEM200B;IRS1;LOXL4;KNDC1;IRS2;ADARB1;NR3C1;HERC5;ZFP36;MPRIP;TMEM88;SOX18;DPYSL2;RPS6KA2;PALM;LEPR;CYP1B1;JUNB;KCNH2;TSPYL2;RBFOX2;TPM2;DIO3;HSPG2;HIC1;DKK3;FNDC5;FRMD6;ADCY9;DOK5;GPR161;MYADM;PGR;ZFPM2;NBL1;GNAZ;TSHZ3;ARHGEF25;MAOA;LTBP4;CACNA1C;AEBP1;RASGRP2;NDRG2;FOXO1;CACNA1H;ABO;ZFP36L2;PDZD4;APH1B;INPP5A;NACC2;TSPAN4;TPPP;GPIHBP1;LRRC4B;WNT4;CBX7;JUN;PTPRN2;FZD4;CAV1;FZD7;PDE2A;PBX3;NR1D2;FOXN3;HSPA12B;NR4A3;FERMT2;SNAP25;ANKRD33B;CITED2;FLT4;DIRAS1;FHL1;STON1;PTH1R;LITAF;PKD1;GLI3;RBPMS2;EMILIN1;ZCCHC24;KLF11;LYNX1;DUSP1;VSTM2L;HBA2;RGMA;F8;ZEB1;SETBP1;COL6A1;PDE5A;GAS6;CRYAB;SCN4B;RBM24;SAMD5;ITIH5;LEPROT;NRXN2;APOLD1;RASD2;MARVELD1;MAN1C1;FLNC;SLC12A4;KCNB1;AHNAK2;SAMD4A;C20ORF194;TBX2;MAPK11;PER3;TEF;DLC1
TFAP2A (mouse)	136/1663	5.97080208509401e-05	0.00235846682361213	136	0.0817799158147925	TPSB2;IFITM2;FAM13C;KNDC1;NYNRIN;EDNRB;FAM162B;TMEM88;MYC;SLCO2B1;SYNPO;PDE8B;JUNB;PRIMA1;TNS1;PDGFRA;SCARA3;TPM2;TPM1;PIPOX;PDGFRL;FNDC5;CRISPLD2;DOK5;GPR161;SLCO2A1;MXRA8;CDKL1;ABCG2;TTYH1;NXPH3;NPR2;GATA6;ECSCR;LTBP4;LTBP2;NDRG2;PCDH18;PCDH17;CACNA1H;SOCS2;CNN1;PLAC9;DPP6;FAM180A;APOD;CYTL1;MYH11;TPPP;GPIHBP1;STAT5A;STAT5B;CBX7;CBX6;RARRES2;INSR;PDE2A;RASSF8;PARVA;HSPA12B;LRCH2;ITGA11;FXYD5;HOXD3;NFE2L1;GSTM5;SRPX;CNTNAP1;ANKRD33B;THRA;COL14A1;CITED2;GRIK5;FHL1;HSPB7;LDB3;PTH1R;CHRDL2;SYNE1;JPH4;UBL3;SGCA;CRTAC1;NCS1;RBPMS2;TIMP2;SPEG;PGM5;SCARF1;SRGN;MYOCD;EGFL7;ARHGEF15;MAMDC2;APOA1;INMT;CLDN11;CLDN10;RASA3;CDC42EP4;ALDH1A2;MMRN2;RHOJ;PECAM1;CDC42EP1;SHANK3;SCN4B;RBM24;VGLL3;MATN2;SAMD5;CX3CR1;ZBTB46;HAAO;PRELP;HSD17B11;LTC4S;NEURL1B;PALMD;TMEM204;SNCG;TBL1X;STX2;LGI4;PTPN13;MEIS2;TBX2;KLF7;DES;PIK3IP1;WT1;CSDC2;LRRN4CL;CCDC8;BCL6B;FOSB
TEAD4 (human)	113/1354	0.000117417596289823	0.00412266226973157	113	0.0834564254062038	IFI27L2;TMEM200B;IRS1;LOXL4;KNDC1;IRS2;NR3C1;CLU;ANTXR1;MYLK;HERC5;SYDE1;TUBB6;SOX18;DPYSL2;PALM;LEPR;ENPP1;JUNB;KCNH2;TSPYL2;MEF2C;RBFOX2;TPM2;DIO3;HIC1;DKK3;FNDC5;ADCY9;GPR161;MYADM;MYL9;VCL;TSHZ3;MAOA;FOXO4;AEBP1;RASGRP2;NDRG2;CACNA1H;APH1B;INPP5A;TSPAN4;TPPP;GPIHBP1;LRRC4B;CBX7;JUN;CBX6;PTPRN2;FZD4;ZBTB16;CAV1;INSR;PDE2A;FN1;PBX3;NR1D2;SSC5D;FOXN3;HSPA12B;GADD45G;NR4A3;DCHS1;FERMT2;SNAP25;BTG2;ANKRD33B;BNC2;CITED2;FLT4;DIRAS1;STON1;SGCE;RBPMS2;ZCCHC24;KLF11;PACRG;KCND2;SH2D3C;VSTM2L;FOS;KLF15;RGMA;TBC1D1;HAND2;COL6A1;CDC42EP1;ITGA7;PDE5A;RBM24;ITIH5;LEPROT;SLC24A3;CRMP1;GNG7;FLNA;SUSD3;FLNC;SLC25A25;PDLIM7;TUB;KCNB1;AHNAK2;C20ORF194;KLF4;MEIS2;MAPK11;KLF7;DES;TEF;DLC1;HSPA1A
TEAD2 (mouse)	128/1591	0.000200595110676118	0.00633880549736532	128	0.0804525455688246	SLC23A2;CPNE5;TMEM200B;IRS1;GIMAP4;NR3C1;GIMAP8;SLC8A2;RASSF2;CCND2;TMEM88;DPYSL3;CMKLR1;KCNH2;PDGFRA;TPM2;ANK2;EBF4;NPNT;FOXP2;HIC1;DKK3;AR;MXRA8;MYADM;COL4A6;ZFPM2;TSHZ3;SLC45A1;NPR2;GATA6;CHRD;KLHL13;RASGRP2;NDRG2;LPP;COX7A1;CACNA1H;ZFP36L2;HSD11B1;DPP6;INPP5A;MYH11;LRRC4B;WNT4;STAT5A;JUN;EGR2;RBPMS;ATP8B2;ZBTB16;MCAM;FZD7;PBX3;NR2F1;CRIM1;NR1D2;NR2F2;EHD2;PTPRB;DAB2;UST;ITGA11;DCHS1;AMOTL2;TCF4;NFE2L1;NRP1;BTG2;ROBO4;BNC2;LRRK2;FLT4;GRIK5;FHL1;N4BP2L1;PTH1R;LDB2;CHRDL2;SYNE1;JPH4;GHR;MRC2;SGCE;THBD;C1QTNF1;SH3PXD2A;ADAMTS1;GLIPR2;NPTN;RSPO3;SPEG;GPRASP2;ZCCHC24;FOXL2;GAB2;RGMA;ZEB1;COL6A2;KCNMA1;SHANK3;RBM24;HDAC5;NFIX;TNXB;LRP1;SATB1;EHBP1;TCEAL6;ABLIM3;SUSD3;TBL1X;APBB1;JAZF1;MAPK3;GABBR1;NEGR1;KCNB1;NAP1L3;KLF4;MEIS3;MEIS2;TBX2;MAPK11;LRRN4CL;FOSB;SSBP2;RAB9B
