Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	44/128	8.11476089987369e-28	2.09520772744546e-24	44	0.34375	ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB1;STMN1;NUF2;RCC1;BUB1;DLGAP5;CENPU;STIL;NEK6;RCC2;PLK1;KNL1;TUBG1;NDC80;ZWINT;SGO1;CENPE;KIF18A;CENPF;ESPL1;CENPH;INCENP;KIF4A;CENPK;TACC3;BIRC5;CENPM;KIF2C;CENPN;CENPO;SPC24;MAD2L1;SPC25
mitotic spindle organization (GO:0007052)	48/157	1.30258484765027e-27	2.09520772744546e-24	48	0.305732484076433	ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB1;CHEK2;STMN1;NUF2;RCC1;BUB1;MISP;DLGAP5;CENPU;STIL;NEK6;RCC2;PLK1;KIF23;KNL1;TUBG1;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;CENPF;KIFC2;CENPH;INCENP;KIFC1;KIF4A;CENPK;BIRC5;CENPM;KIF2C;CENPN;CENPO;SPC24;MAD2L1;SPC25
mitotic sister chromatid segregation (GO:0000070)	31/102	3.33938875447697e-18	3.58093787438414e-15	31	0.303921568627451	CDCA5;KIF14;CDCA8;NCAPG;SMC4;NCAPH;CCNB1;CEP55;DLGAP5;SPAG5;PLK1;KIF23;KIF22;HASPIN;TUBG1;KNSTRN;NDC80;ZWINT;REC8;SGO1;CENPE;KIF18A;KIF18B;PSRC1;ESPL1;KIFC1;CENPK;CHMP4C;CDK1;KIF2C;NCAPD2
centromere complex assembly (GO:0034508)	17/37	4.89660935095593e-14	3.9380980705063e-11	17	0.459459459459459	CENPU;HELLS;CENPW;CENPX;HJURP;KNL1;CENPA;CENPE;CENPF;MIS18A;CENPH;CENPK;CENPM;OIP5;CENPN;CENPO;DLGAP5
sister chromatid segregation (GO:0000819)	15/34	3.21918540981381e-12	2.0712238926742e-09	15	0.441176470588235	TOP2A;SPAG5;PLK1;CDCA8;TUBG1;SMC4;KNSTRN;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;KIFC1;CENPK
mitotic nuclear division (GO:0140014)	21/74	3.99275568325808e-12	2.14078250550688e-09	21	0.283783783783784	SPAG5;UBE2C;PLK1;CDCA8;KIF11;TUBG1;SMC4;KNSTRN;NDC80;ZWINT;SGO1;TPX2;KIF18A;KIF18B;ESPL1;KIFC2;KIFC1;UBE2S;CHEK2;CENPK;MISP
chromatin remodeling at centromere (GO:0031055)	14/32	1.97870529789912e-11	9.09356420477352e-09	14	0.4375	CENPU;HELLS;CENPW;CENPX;HJURP;KNL1;CENPA;MIS18A;CENPH;CENPK;CENPM;OIP5;CENPN;CENPO
CENP-A containing chromatin organization (GO:0061641)	13/30	1.2152030734904e-10	4.34367587490958e-08	13	0.433333333333333	CENPU;CENPW;CENPX;HJURP;KNL1;CENPA;MIS18A;CENPH;CENPK;CENPM;OIP5;CENPN;CENPO
CENP-A containing nucleosome assembly (GO:0034080)	13/30	1.2152030734904e-10	4.34367587490958e-08	13	0.433333333333333	CENPU;CENPW;CENPX;HJURP;KNL1;CENPA;MIS18A;CENPH;CENPK;CENPM;OIP5;CENPN;CENPO
DNA replication (GO:0006260)	23/108	2.30240392059968e-10	7.40683341256918e-08	23	0.212962962962963	PIF1;FEN1;RMI2;MCM7;CDC7;MCM10;CDC6;TICRR;FAM111B;RECQL4;ORC6;CDC45;ORC1;EXO1;POLD1;CHEK1;PCLAF;TIMELESS;CDK1;MCM4;DNA2;CLSPN;MCM2
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	13/32	3.24841476611092e-10	9.41655427337717e-08	13	0.40625	CDT1;PCNA;RRM2;CDC6;TYMS;CCNA1;CDC45;ORC1;CDK5;CCNE1;E2F1;E2F7;CDK16
kinetochore organization (GO:0051383)	9/13	3.51254744421902e-10	9.41655427337717e-08	9	0.692307692307692	CDT1;CENPE;CENPF;CENPW;CENPH;NUF2;CENPA;NDC80;DLGAP5
DNA replication-independent nucleosome assembly (GO:0006336)	14/39	4.75188637437575e-10	1.17590911279744e-07	14	0.358974358974359	CENPU;CENPW;CENPX;HJURP;KNL1;CENPA;MIS18A;CENPH;CENPK;CENPM;OIP5;CENPN;CENPO;ASF1B
mitotic cytokinesis (GO:0000281)	15/49	1.47468095244081e-09	3.3886061600015e-07	15	0.306122448979592	RTKN;PLK1;CKAP2;KIF23;CENPA;ANLN;ESPL1;RACGAP1;INCENP;KIF4A;STMN1;JTB;KIF20A;ECT2;CEP55
mitotic metaphase plate congression (GO:0007080)	15/51	2.74907592227393e-09	5.89585149463682e-07	15	0.294117647058824	CDT1;CDCA5;KIF14;CDCA8;KIF22;NDC80;CENPE;CCNB1;KIF18A;PSRC1;KIFC1;NUF2;CHMP4C;KIF2C;CEP55
G1/S transition of mitotic cell cycle (GO:0000082)	19/85	3.57699208863715e-09	7.19198971821607e-07	19	0.223529411764706	CDT1;PCNA;RRM2;CDKN2A;CDC7;CDC6;TYMS;CDC25A;CCNA1;CDC45;ORC1;CDK5;CCNE1;E2F1;EIF4EBP1;RCC1;E2F3;CDK16;CDKN3
histone exchange (GO:0043486)	13/38	3.96421569519588e-09	7.50169523026184e-07	13	0.342105263157895	CENPU;CENPW;CENPX;HJURP;KNL1;CENPA;MIS18A;CENPH;CENPK;CENPM;OIP5;CENPN;CENPO
