Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
microtubule motor activity (GO:0003777)	15/56	1.14119575200067e-08	5.13989531455047e-06	15	0.267857142857143	KIF14;KIF23;KIF11;KIF22;KIF15;CENPE;KIF18A;KIF18B;KIFC2;KIFC1;KIF26B;KIF4A;KIF2C;KIF1A;KIF20A
motor activity (GO:0003774)	16/66	1.77851048946383e-08	5.13989531455047e-06	16	0.242424242424242	KIF14;KIF23;KIF11;KIF22;KIF15;CENPE;KIF18A;KIF18B;KIFC2;KIFC1;KIF26B;KIF4A;MYO6;KIF2C;KIF1A;KIF20A
microtubule binding (GO:0008017)	30/232	1.16373438274864e-07	2.24212824409571e-05	30	0.129310344827586	KIF14;SKA1;KIF15;RACGAP1;KIF1A;FAM83D;GTSE1;DLGAP5;SPAG5;RCC2;PLK1;KIF23;KIF22;KNSTRN;CAMSAP3;TPX2;CENPE;KIF18A;KIF18B;PSRC1;KIFC2;CDK5;KIFC1;HOOK1;REEP4;KIF26B;BIRC5;KIF2C;KIF20A;GAPDH
DNA replication origin binding (GO:0003688)	8/23	3.60638023996193e-06	0.000521121944674498	8	0.347826086956522	CDC45;MCM7;ORC1;DDX11;MCM4;MCM10;CDC6;MCM2
cadherin binding involved in cell-cell adhesion (GO:0098641)	7/18	6.33367772782715e-06	0.000732173145336819	7	0.388888888888889	BAIAP2L1;KRT18;EPCAM;PKP3;STXBP6;S100A11;PPP1CA
single-stranded DNA helicase activity (GO:0017116)	7/19	9.64907829847158e-06	0.000929527876086096	7	0.368421052631579	PIF1;RAD51;MCM7;DSCC1;DNA2;CHTF18;MCM2
DNA binding (GO:0003677)	62/811	1.51325010175367e-05	0.0012495122268766	62	0.0764488286066584	FOXA1;H2AX;TOP2A;H2AW;FEN1;MCM7;SCX;HMGB3;SIX1;MCM10;CHTF18;MECOM;EXO1;SREBF1;MSX2;DDX11;MMP12;NEIL3;MYCN;PAX8;IRF7;TIMELESS;MCM4;IRF6;DNA2;MCM2;DNMT1;DLX3;PCNA;GTF3C6;LEF1;HOXB13;MACROH2A1;RAD51AP1;CDC45;ORC1;POLD1;E2F1;E2F2;E2F3;POLR2H;CLSPN;SPDEF;H2AZ1;H2BC9;TFAP2A;CDT1;CENPX;H2BC5;HMGA1;GRHL2;H1-2;NR2F6;SMARCA4;RAD51;H2AC20;AUNIP;HDGF;CALR;TCF3;HROB;FOXA2
double-stranded DNA binding (GO:0003690)	52/651	2.33356585678644e-05	0.0016860013315282	52	0.0798771121351766	FOXA1;FEN1;HMGB3;SIX1;TFCP2L1;SIX4;CREB3L4;ZIC1;MYBL2;PITX1;SOX4;HES6;SREBF1;MSX2;DDX11;OVOL2;NEIL3;HOXB9;MYCN;PAX8;ELF3;IRF7;IRF6;HOXB8;DLX3;DLX5;UHRF1;DLX6;LEF1;HOXB13;ASCL2;MACROH2A1;RAD51AP1;E2F1;E2F2;E2F3;MSX1;OTX1;ZBTB7B;ZSCAN16;E2F7;SPDEF;E2F8;TFAP2A;CENPX;VAX2;TBX18;H1-2;NR2F6;RAD51;HDGF;FOXA2
cadherin binding (GO:0045296)	31/322	3.70170704424084e-05	0.00237731852396801	31	0.0962732919254658	LAD1;LRRC59;ENO1;F11R;EVPL;CCNB2;LDHA;ARVCF;BAIAP2L1;EPCAM;CDH1;PPP1R13L;CDH24;SFN;EPS8L2;STXBP6;PROM1;S100A11;SPTBN2;IDH1;ARHGEF16;CGN;PPP1CA;ANLN;GPRC5A;KRT18;DIAPH3;PKM;FASN;S100P;PKP3
sequence-specific double-stranded DNA binding (GO:1990837)	54/712	6.6236458822361e-05	0.00382846731993247	54	0.0758426966292135	FOXA1;MESP1;MCM7;SIX1;MCM10;TFCP2L1;SOX17;SIX4;CREB3L4;BASP1;ZIC1;MYBL2;PITX1;SOX4;HES6;SREBF1;MSX2;DDX11;OVOL2;HOXB9;MYCN;PAX8;ELF3;IRF7;MCM4;KIF2C;IRF6;HOXB8;MCM2;DLX3;DLX5;DLX6;LEF1;HOXB13;ASCL2;MACROH2A1;CDC45;ORC1;E2F1;E2F2;E2F3;MSX1;OTX1;ZBTB7B;ZSCAN16;E2F7;SPDEF;E2F8;TFAP2A;CDC6;VAX2;TBX18;NR2F6;FOXA2
