Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
KLF11 (human)	95/1388	9.20380515932844e-06	0.00268751110652391	95	0.0684438040345821	PRR7;WWC1;CCNF;LPCAT1;MSI1;PRSS22;ESPN;TXNDC17;C1ORF210;FAM110A;ABHD11;PSD4;HOMER3;PHLDA2;AMH;SLC16A3;SAMD10;SLC12A8;SLC39A4;HES6;PAQR6;PAQR4;NUP210;ARRDC1;TNFRSF18;ANO9;TRPT1;C4ORF48;GFRA3;SULT2B1;CLDN4;GPRC5A;CCNE1;PRR15L;TMSB15A;CLDN7;IRF7;SLC29A4;BIRC5;MT1G;MT1H;PKP3;HOXB8;ABCG1;ZNF750;LLGL2;RNFT2;GRB7;IGSF8;CSTB;PCNA;NXPH4;PLA2G3;TGFA;ITPR3;EVPL;AGPAT2;ASCL2;NKD2;FAM83H;HSD11B2;CST1;RAB26;POLD1;KIAA1522;PLEKHG4B;MARVELD3;EPS8L2;ZBTB7B;SLC19A1;PROM2;TFAP2A;TMEM184A;MARCKSL1;CADM4;CDKN2A;NEK6;MBOAT7;RCC2;HMGA1;CNFN;NR2F6;GRIN2D;YIF1B;DBNDD1;SLC6A8;FASN;SP5;RGL3;DEGS2;NOTUM;RCOR2;CYB561;SERINC2;FBXL6
KLF4 (human)	97/1485	4.69150179620827e-05	0.00441903034176909	97	0.0653198653198653	WWC1;CCNF;MSI1;ESPN;TXNDC17;FAM110A;ABHD11;HOMER3;PHLDA2;SLC16A3;SAMD10;SLC12A8;SLC39A4;HES6;PAQR6;PAQR4;NUP210;ARRDC1;SLC5A6;SULT2B1;CLDN4;CCNE1;PRR15L;CLDN7;MT1G;MT1H;PKP3;HOXB8;ABCG1;LLGL2;GRB7;IGSF8;NXPH4;PLA2G3;TGFA;ITPR3;EVPL;FAM83H;HSD11B2;KIAA1522;ZBTB7B;SLC19A1;PROM2;TFAP2A;TMEM184A;CADM4;NEK6;RCC2;HMGA1;CNFN;NR2F6;GRIN2D;SLC6A8;FASN;SP5;RGL3;DEGS2;RCOR2;SERINC2;FBXL6;PRR7;LPCAT1;PRSS22;C1ORF210;PSD4;AMH;TNFRSF18;ANO9;TRPT1;C4ORF48;GFRA3;GPRC5A;TMSB15A;IRF7;SLC29A4;BIRC5;TLCD1;ZNF750;RNFT2;CSTB;PCNA;AGPAT2;ASCL2;NKD2;CST1;RAB26;POLD1;PLEKHG4B;MARVELD3;EPS8L2;MARCKSL1;CDKN2A;MBOAT7;YIF1B;DBNDD1;NOTUM;CYB561
SNAI2 (human)	93/1428	7.56683277700186e-05	0.00441903034176909	93	0.0651260504201681	LPCAT1;SPINT2;TFCP2L1;TXNDC17;TM7SF2;BAIAP2L1;ABHD11;CDH1;CA9;SLC16A3;NUDT14;SLC12A8;PLS1;CHST6;NUP210;ARRDC1;STRBP;ARHGEF16;PLEKHG6;KRT8;TRPT1;RNF208;LSR;CDC25C;SULT2B1;SCNN1G;GPRC5A;ELF3;PRR15L;SCNN1A;SLC29A4;RHOV;TKT;SMPDL3B;ABCG1;GRB7;CSTB;RBM47;TTYH3;TROAP;NXPH4;TMPRSS4;GCNT1;IER5L;PLA2G3;LPAR2;TMPRSS2;MRPL12;FUT2;EVPL;COX5A;AGPAT2;ASCL2;C1ORF53;NKD2;BCL2L12;EXOSC4;ERBB3;EPCAM;MARVELD3;GCNT2;MAL2;EPS8L2;STAP2;FAM83D;SAC3D1;ATP6V1C2;STRA6;TMEM184A;GINS2;MYO10;CDKN2A;NEK6;GAD1;ABCA7;CNFN;MT3;YIF1B;MAPK13;DBNDD1;GALE;EFNA3;MYO5B;NOXA1;TACC3;CENPM;SDC1;PTPN6;ATP13A2;RNF183;SLC26A6;CRB3;FBXL6
SNAI1 (human)	93/1428	7.56683277700186e-05	0.00441903034176909	93	0.0651260504201681	LPCAT1;SPINT2;TFCP2L1;TXNDC17;TM7SF2;BAIAP2L1;ABHD11;CDH1;CA9;SLC16A3;NUDT14;SLC12A8;PLS1;CHST6;NUP210;ARRDC1;STRBP;ARHGEF16;PLEKHG6;KRT8;TRPT1;RNF208;LSR;CDC25C;SULT2B1;SCNN1G;GPRC5A;ELF3;PRR15L;SCNN1A;SLC29A4;RHOV;TKT;SMPDL3B;ABCG1;GRB7;CSTB;RBM47;TTYH3;TROAP;NXPH4;TMPRSS4;GCNT1;IER5L;PLA2G3;LPAR2;TMPRSS2;MRPL12;FUT2;EVPL;COX5A;AGPAT2;ASCL2;C1ORF53;NKD2;BCL2L12;EXOSC4;ERBB3;EPCAM;MARVELD3;GCNT2;MAL2;EPS8L2;STAP2;FAM83D;SAC3D1;ATP6V1C2;STRA6;TMEM184A;GINS2;MYO10;CDKN2A;NEK6;GAD1;ABCA7;CNFN;MT3;YIF1B;MAPK13;DBNDD1;GALE;EFNA3;MYO5B;NOXA1;TACC3;CENPM;SDC1;PTPN6;ATP13A2;RNF183;SLC26A6;CRB3;FBXL6
TCF3 (human)	93/1428	7.56683277700186e-05	0.00441903034176909	93	0.0651260504201681	LPCAT1;SPINT2;TFCP2L1;TXNDC17;TM7SF2;BAIAP2L1;ABHD11;CDH1;CA9;SLC16A3;NUDT14;SLC12A8;PLS1;CHST6;NUP210;ARRDC1;STRBP;ARHGEF16;PLEKHG6;KRT8;TRPT1;RNF208;LSR;CDC25C;SULT2B1;SCNN1G;GPRC5A;ELF3;PRR15L;SCNN1A;SLC29A4;RHOV;TKT;SMPDL3B;ABCG1;GRB7;CSTB;RBM47;TTYH3;TROAP;NXPH4;TMPRSS4;GCNT1;IER5L;PLA2G3;LPAR2;TMPRSS2;MRPL12;FUT2;EVPL;COX5A;AGPAT2;ASCL2;C1ORF53;NKD2;BCL2L12;EXOSC4;ERBB3;EPCAM;MARVELD3;GCNT2;MAL2;EPS8L2;STAP2;FAM83D;SAC3D1;ATP6V1C2;STRA6;TMEM184A;GINS2;MYO10;CDKN2A;NEK6;GAD1;ABCA7;CNFN;MT3;YIF1B;MAPK13;DBNDD1;GALE;EFNA3;MYO5B;NOXA1;TACC3;CENPM;SDC1;PTPN6;ATP13A2;RNF183;SLC26A6;CRB3;FBXL6
ZBTB7A (human)	89/1373	0.000127930844890546	0.00556946005379345	89	0.0648215586307356	FOXA1;B4GALT1;MCM7;CCNF;PLEKHB1;KIF14;TMEM52;MSI1;DBI;FZD10;MKI67;SMC4;HS6ST1;KRTCAP3;BAIAP2L1;MDK;PPP1R13L;RAC3;HOMER3;KIF1A;SLC16A3;VAV3;HES6;PAQR4;STRBP;PLEKHG6;RNF208;C4ORF48;ATAD3A;CCNE1;SLC25A10;TLCD1;EMID1;SLC29A2;ASF1B;FBN2;TRABD;PFKFB4;TMEM63B;LEF1;TMPRSS2;SLC7A1;AGPAT2;NPAS3;MUC1;UAP1L1;EPS8L2;ROMO1;STXBP6;RAB11FIP4;SLC19A1;PACSIN1;GALNT6;CDT1;RRM2;MBOAT7;BNIP3;CBX2;IDH2;HMGA1;TNFRSF10B;PYCR1;BRI3BP;VAX2;NR2F6;GRIN2D;SMARCA4;MANF;MAD2L2;BOP1;SLC25A39;SLC6A8;RAD51;FRAS1;MLPH;RAB15;FASN;NOXA1;TACC3;GNAS;CALR;DEGS2;TCF3;RCOR2;SLC26A6;EZH2;C19ORF48;FBXL6;FOXA2
THRB (human)	123/2034	0.000133514453344364	0.00556946005379345	123	0.0604719764011799	STEAP3;PLEKHB1;TONSL;MSI1;TMEM97;SMC4;FAM110A;KRTCAP3;FADS2;BAIAP2L1;ABHD11;PTTG1;FLAD1;CHEK2;STMN1;RPS6KA1;SLC16A3;SLC12A8;SLC39A4;MFSD2A;TPD52;ARRDC1;CDC25A;MELK;GPRIN1;PGP;TRIB3;PKP3;EPHA1;SNRPB;GRB7;TTYH3;IGSF3;TROAP;NXPH4;CRABP1;TGFA;ITPR3;IGSF9;SEL1L3;PORCN;KIAA1522;PMAIP1;STAP2;CLSPN;OTX1;DECR2;ECT2;RAB11FIP4;S100A11;PACSIN1;TRPM4;CDT1;STIL;CHKA;HOMER2;SRD5A3;ISG15;BRI3BP;ANLN;SLC6A8;TP53I3;NMU;CSPG5;TCF3;EZH2;C19ORF48;CDK16;NAA40;CITED4;DBI;TUBA1C;SIX4;CA2;ENC1;DNMT3B;RAC3;CEP55;COX8A;VAV3;CHST6;TNFRSF18;TRAF4;ESPL1;INCENP;KIFC1;ESRP1;ANGPTL4;GAPDH;SLC29A2;PCNA;TOMM40;UHRF1;GCNT1;TMPRSS2;LAGE3;MUC1;RAB25;RAB26;UCP2;CILP2;ROMO1;ATP6V0E2;CTHRC1;GINS1;CMTM7;GDF11;RRM2;CDKN2A;NDUFA3;GSR;GINS4;YIF1B;AGMAT;SLC25A39;RAD51;FRAS1;FABP5;ADM2;CDK2AP2;P4HB;TRIP13;CYB561
ZNF148 (human)	99/1591	0.000237230723711438	0.00865892141546748	99	0.0622250157133878	WWC1;CCNF;MSI1;ESPN;HS6ST1;TXNDC17;FAM110A;ABHD11;HOMER3;PHLDA2;SLC16A3;TMSB10;SAMD10;SLC12A8;SLC39A4;PAQR4;NUP210;ARRDC1;CLDN4;CCNE1;PRR15L;CLDN7;MT1G;MT1H;PKP3;HOXB8;ABCG1;GRB7;PLA2G3;TGFA;ITPR3;MST1R;FAM83H;HSD11B2;KIAA1522;ZBTB7B;SLC19A1;ATP6V1C2;PACSIN1;PROM2;STRA6;TFAP2A;TMEM184A;CADM4;DTNB;HMGA1;CNFN;NR2F6;GRIN2D;SLC6A8;FASN;GNAS;SP5;SDC1;RGL3;DEGS2;RCOR2;SERINC2;FBXL6;SLC25A1;PRR7;LPCAT1;PRSS22;CHTF18;C1ORF210;PSD4;AMH;ABCC3;ABCC1;TNFRSF18;ANO9;TRPT1;RNF208;C4ORF48;MMP11;GPRC5A;TMSB15A;BIRC5;ZNF750;RNFT2;CSTB;PCNA;UHRF1;AGPAT2;ASCL2;NKD2;POLD1;MARVELD3;EPS8L2;GDF11;MARCKSL1;PPP1R14B;MBOAT7;YIF1B;DBNDD1;TACC3;NOTUM;CYB561;CRB3
SP1 (human)	88/1406	0.000443266770055957	0.0143815440951488	88	0.0625889046941678	PRR7;RTKN;TONSL;TMEM52;FZD10;ESPN;CHTF18;HS6ST1;ABHD11;MDK;STMN1;DNMT3B;RAC3;MYBL2;HOMER3;KIF1A;PHLDA2;PITX1;SLC16A3;NUDT14;HES6;KCNH3;LRRC45;ARRDC1;PLEKHG6;RNF208;ATAD3A;SLC7A5;KIFC2;CCNE1;GPRIN1;SLC29A4;PKP3;TLCD1;ABCG1;LLGL2;TRABD;GRB7;IGSF8;TTYH3;TMEM63B;CDCA4;UHRF1;NXPH4;DNAJC22;PLA2G3;LPAR2;AGPAT2;EFNA4;RAP1GAP;FAM83H;HSD11B2;MUC1;RDH10;NT5DC2;UAP1L1;RAD54L;POLR2H;OTX1;ZBTB7B;DECR2;SLC19A1;E2F8;GPR157;GINS2;GDF11;MARCKSL1;CADM4;MYO10;MBOAT7;BNIP3;CBX2;HMGA1;NR2F6;MAD2L2;GALE;SLC25A39;SLC6A8;FASN;KIF26B;NOXA1;TACC3;SP5;LAMTOR2;TCF3;NOTUM;RCOR2;EZH2
TEAD4 (human)	85/1354	0.000506275787475611	0.0147832529942878	85	0.0627769571639586	CCNF;TONSL;TMEM52;ADM;FZD10;ESPN;CHTF18;LMNB1;MDK;STMN1;RAC3;HOMER3;NRCAM;KIF1A;PHLDA2;NUDT14;TMSB10;CEP55;DSP;HES6;LRRC45;PAQR6;ARRDC1;TNFRSF18;TNNC1;RNF208;KIFC2;CCNE1;TMSB15A;TLCD1;ANGPTL4;EMID1;LLGL2;TRABD;IGSF8;CSTB;CDCA2;PCNA;CDCA4;UHRF1;LAMA1;TMPRSS2;ITPR3;AGPAT2;NPAS3;HSD11B2;CCNB2;MUC1;RAB26;RDH10;STC2;NT5DC2;UCP2;UAP1L1;EIF4EBP1;E2F2;RAD54L;OTX1;ZBTB7B;E2F8;ATP6V1C2;GDF11;CADM4;MYO10;HOMER2;MBOAT7;RCC2;CBX2;HIP1R;HMGA1;NR2F6;TTC9;SLC6A8;HOOK1;FASN;KIF26B;FGF19;GNAS;RGL3;LAMTOR2;TCF3;NOTUM;RCOR2;CYB561;EZH2
