GeneSymbol	#tax_id	GeneID	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
A2M	9606	2	-	A2MD|CPAMD5|FWP007|S863-7	MIM:103950|HGNC:HGNC:7|Ensembl:ENSG00000175899|AllianceGenome:HGNC:7	12	12p13.31	alpha-2-macroglobulin	protein-coding	A2M	alpha-2-macroglobulin	O	alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M	20250503	-
AASS	9606	10157	-	LKR/SDH|LKRSDH|LORSDH	MIM:605113|HGNC:HGNC:17366|Ensembl:ENSG00000008311|AllianceGenome:HGNC:17366	7	7q31.32	aminoadipate-semialdehyde synthase	protein-coding	AASS	aminoadipate-semialdehyde synthase	O	alpha-aminoadipic semialdehyde synthase, mitochondrial|alpha-aminoadipate semialdehyde synthase|aminoadipic semialdehyde synthase|lysine-2-oxoglutarate reductase|lysine-ketoglutarate reductase /saccharopine dehydrogenase|saccharopine dehydrogenase (NAD(+), L-glutamate-forming)|saccharopine dehydrogenase (NADP(+), L-lysine-forming)	20250503	-
ABCA7	9606	10347	-	ABCA-SSN|ABCX|AD9	MIM:605414|HGNC:HGNC:37|Ensembl:ENSG00000064687|AllianceGenome:HGNC:37	19	19p13.3	ATP binding cassette subfamily A member 7	protein-coding	ABCA7	ATP binding cassette subfamily A member 7	O	phospholipid-transporting ATPase ABCA7|ATP-binding cassette sub-family A member 7|ATP-binding cassette, sub-family A (ABC1), member 7|autoantigen SS-N|macrophage ABC transporter	20250503	-
ABCA8	9606	10351	-	-	MIM:612505|HGNC:HGNC:38|Ensembl:ENSG00000141338|AllianceGenome:HGNC:38	17	17q24.2	ATP binding cassette subfamily A member 8	protein-coding	ABCA8	ATP binding cassette subfamily A member 8	O	ABC-type organic anion transporter ABCA8|ATP-binding cassette, sub-family A (ABC1), member 8	20250503	-
ABCA9	9606	10350	-	EST640918	MIM:612507|HGNC:HGNC:39|Ensembl:ENSG00000154258|AllianceGenome:HGNC:39	17	17q24.2	ATP binding cassette subfamily A member 9	protein-coding	ABCA9	ATP binding cassette subfamily A member 9	O	ATP-binding cassette sub-family A member 9|ATP-binding cassette A9|ATP-binding cassette, sub-family A (ABC1), member 9	20250503	-
ABCB1	9606	5243	-	ABC20|CD243|CLCS|ENPAT|GP170|MDR1|P-GP|PGY1|p-170	MIM:171050|HGNC:HGNC:40|Ensembl:ENSG00000085563|AllianceGenome:HGNC:40	7	7q21.12	ATP binding cassette subfamily B member 1	protein-coding	ABCB1	ATP binding cassette subfamily B member 1	O	ATP-dependent translocase ABCB1|ATP-binding cassette, sub-family B (MDR/TAP), member 1|P-glycoprotein 1|colchicin sensitivity|doxorubicin resistance|multidrug resistance protein 1|phospholipid transporter ABCB1	20250503	-
ABCC1	9606	4363	-	ABC29|ABCC|DFNA77|GS-X|MRP|MRP1	MIM:158343|HGNC:HGNC:51|Ensembl:ENSG00000103222|AllianceGenome:HGNC:51	16	16p13.11	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	protein-coding	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	O	multidrug resistance-associated protein 1|ATP-binding cassette transporter variant ABCC1delta-ex13&14|ATP-binding cassette transporter variant ABCC1delta-ex25&26|ATP-binding cassette, sub-family C (CFTR/MRP), member 1|LTC4 transporter|glutathione S-conjugate export pump|glutathione-S-conjugate-translocating ATPase ABCC1|leukotriene C(4) transporter	20250503	-
ABCC3	9606	8714	-	ABC31|EST90757|MLP2|MOAT-D|MRP3|cMOAT2	MIM:604323|HGNC:HGNC:54|Ensembl:ENSG00000108846|AllianceGenome:HGNC:54	17	17q21.33	ATP binding cassette subfamily C member 3	protein-coding	ABCC3	ATP binding cassette subfamily C member 3	O	ATP-binding cassette sub-family C member 3|ATP-binding cassette, sub-family C (CFTR/MRP), member 3|canalicular multispecific organic anion transporter 2|canicular multispecific organic anion transporter|multi-specific organic anion transporter D|multidrug resistance associated protein|multidrug resistance-associated protein 3	20250503	-
ABCC9	9606	10060	-	ABC37|ATFB12|CANTU|CMD1O|IDMYS|SUR2	MIM:601439|HGNC:HGNC:60|Ensembl:ENSG00000069431|AllianceGenome:HGNC:60	12	12p12.1	ATP binding cassette subfamily C member 9	protein-coding	ABCC9	ATP binding cassette subfamily C member 9	O	ATP-binding cassette sub-family C member 9|ATP-binding cassette transporter sub-family C member 9|ATP-binding cassette, sub-family C (CFTR/MRP), member 9|sulfonylurea receptor 2	20250503	-
ABCG1	9606	9619	-	ABC8|WHITE1	MIM:603076|HGNC:HGNC:73|Ensembl:ENSG00000160179|AllianceGenome:HGNC:73	21	21q22.3	ATP binding cassette subfamily G member 1	protein-coding	ABCG1	ATP binding cassette subfamily G member 1	O	ATP-binding cassette sub-family G member 1|ABC transporter 8|ATP-binding cassette transporter 8|ATP-binding cassette transporter member 1 of subfamily G|ATP-binding cassette, sub-family G (WHITE), member 1|homolog of Drosophila white|white protein homolog (ATP-binding cassette transporter 8)	20250503	-
